seed,repetition,M_T0,M_T1,M_T1_minus_M_T0_ms
42,1,9.096152381971478,9.1657810844481,0.06962870247662067
42,2,8.744366699829698,8.994704112410545,0.25033741258084774
42,3,8.743079844862223,8.992578834295273,0.24949898943305016
42,4,8.744463324546814,8.9885329362005,0.24406961165368557
42,5,8.74233152717352,8.994458941742778,0.2521274145692587
42,6,8.74530989676714,8.990327827632427,0.24501793086528778
42,7,8.748819818720222,8.996221702545881,0.24740188382565975
42,8,8.746804669499397,8.998211240395904,0.2514065708965063
42,9,8.747010258957744,8.996633579954505,0.24962332099676132
42,10,8.746767416596413,8.997072000056505,0.25030458346009254
43,1,8.75063519924879,9.003769140690565,0.25313394144177437
43,2,8.748071966692805,8.999662706628442,0.2515907399356365
43,3,8.74945311807096,9.000712540000677,0.25125942192971706
43,4,8.748425170779228,9.003048064187169,0.25462289340794086
43,5,8.746364153921604,8.998776786029339,0.2524126321077347
43,6,8.747738087549806,8.997830795124173,0.2500927075743675
43,7,8.751108311116695,9.001173311844468,0.2500650007277727
43,8,8.74950853176415,8.996479446068406,0.24697091430425644
43,9,8.749416097998619,9.000885765999556,0.2514696680009365
43,10,8.745518047362566,9.000607300549746,0.25508925318717957
44,1,8.7593796197325,8.99842381477356,0.23904419504106045
44,2,8.757362375035882,8.995687821879983,0.23832544684410095
44,3,8.758667623624206,8.997870609164238,0.2392029855400324
44,4,8.75689391978085,8.999134879559278,0.24224095977842808
44,5,8.759069256484509,8.99764010682702,0.23857085034251213
44,6,8.759325370192528,8.99424054659903,0.23491517640650272
44,7,8.761387318372726,8.997330674901605,0.2359433565288782
44,8,8.758470648899674,8.999124402180314,0.24065375328063965
44,9,8.758638752624393,9.001415921375155,0.24277716875076294
44,10,8.758112788200378,8.998520206660032,0.24040741845965385
