comparison,seed,n,median_q3_ms,mean_q3_ms,sd_q3_ms,mean_q3_bootstrap_ci95_low_ms,mean_q3_bootstrap_ci95_high_ms,raw_q3_min_ms,raw_q3_max_ms
M_T0,42,10,8.746038656681776,8.780510583892465,0.11092268844089267,8.74453189666383,8.851063348120078,8.74233152717352,9.096152381971478
M_T0,43,10,8.748920634388924,8.748623868450522,0.0017700262776246974,8.74755154189188,8.749644259805791,8.745518047362566,8.751108311116695
M_T0,44,10,8.758653188124299,8.758730767294765,0.0012317521567162717,8.75803283881396,8.759481641463935,8.75689391978085,8.761387318372726
M_T0,pooled,30,8.74943460803479,8.76262173987925,0.06326935993184218,8.749576149857603,8.78677033217779,8.74233152717352,9.096152381971478
M_T1,42,10,8.995462907478213,9.011452225968242,0.05431194082699278,8.992871741065755,9.046452948823571,8.9885329362005,9.1657810844481
M_T1,43,10,9.000659920275211,9.000294585712254,0.0022205316613481962,8.998962209443562,9.001597358146682,8.996479446068406,9.003769140690565
M_T1,44,10,8.998147211968899,8.997938898392022,0.0019637710120323205,8.996766946511343,8.999088103882968,8.99424054659903,9.001415921375155
M_T1,pooled,30,8.99804092478007,9.003228570024172,0.030888755199030577,8.996712471513698,9.015173488102544,8.9885329362005,9.1657810844481
M_T1_minus_M_T0_paired,42,10,0.24956115521490574,0.23094164207577705,0.05674057873875135,0.19454586959909648,0.2500407717889175,0.06962870247662067,0.2521274145692587
M_T1_minus_M_T0_paired,43,10,0.2515302039682865,0.2516707172617316,0.0023679753081397425,0.2502159372670576,0.25301636836957186,0.24697091430425644,0.25508925318717957
M_T1_minus_M_T0_paired,44,10,0.23912359029054642,0.23920813109725714,0.0024891892025269372,0.23770428088027984,0.24060821684543043,0.23491517640650272,0.24277716875076294
M_T1_minus_M_T0_paired,pooled,30,0.24845043662935495,0.24060683014492193,0.0328315911709645,0.22767928564765802,0.24814786564093083,0.06962870247662067,0.25508925318717957
