status,source,kind,experiment_id,run_id,seed,i2t_R@1,i2t_R@5,i2t_R@10,mean_rank_i2t,median_rank_i2t,t2i_R@1,t2i_R@5,t2i_R@10,mean_rank_t2i,median_rank_t2i,num_image_queries,num_text_queries,mean_R@1,image_query_latency_ms,text_query_latency_ms,bidirectional_pair_latency_ms,peak_inference_memory_bytes,params_total_training,params_total_inference,params_trainable_training,params_trainable_inference,params_training_only,gpu,checkpoint,fingerprint_digest
COMPLETE,measured_local,sensitivity,distill_strength_1p0,distill_strength_1p0__seed_42,42,0.2669999897480011,0.5473999977111816,0.6777999997138977,19.48259925842285,4.0,0.20131142437458038,0.45587942004203796,0.5904601812362671,29.721403121948242,7.0,5000.0,25011.0,0.23415570706129074,2.6630766689777374,1.108384383842349,3.7714610528200865,199577600.0,46368387,45778563,2068227,1478403,589824,NVIDIA RTX PRO 6000 Blackwell Server Edition,checkpoints/alignment_v4/siglip2/sensitivity/distill_strength_1p0__seed_42/best.pt,6a600525d512e70a5a5bdeee0cf4d06ab874521c05e5eca43cfd2216eb028ba6
COMPLETE,measured_local,sensitivity,distill_strength_1p0,distill_strength_1p0__seed_43,43,0.2619999945163727,0.5450000166893005,0.6704000234603882,19.73740005493164,4.0,0.20135140419006348,0.45551955699920654,0.5896205902099609,29.899404525756836,7.0,5000.0,25011.0,0.23167569935321808,2.726077977567911,1.111897425726056,3.8379754032939672,199577600.0,46368387,45778563,2068227,1478403,589824,NVIDIA RTX PRO 6000 Blackwell Server Edition,checkpoints/alignment_v4/siglip2/sensitivity/distill_strength_1p0__seed_43/best.pt,34d394c8f713c11af8bb687c4a37fb38259ddb352546c9d6587d22e7483160d9
COMPLETE,measured_local,sensitivity,matched_baseline,matched_baseline__seed_42,42,0.1565999984741211,0.384799987077713,0.5145999789237976,37.67720031738281,10.0,0.10983167588710785,0.3057854473590851,0.4331693947315216,48.54068374633789,14.0,5000.0,25011.0,0.13321583718061447,2.679326869547367,1.1461814679205418,3.825508337467909,197218304.0,45778563,45778563,1478403,1478403,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,checkpoints/alignment_v4/siglip2/sensitivity/matched_baseline__seed_42/best.pt,68a6fd757575a2ee8154b3cabd2da3e6841b9469741419a7b98c19afb7dddb13
COMPLETE,measured_local,sensitivity,matched_baseline,matched_baseline__seed_43,43,0.15440000593662262,0.3822000026702881,0.5194000005722046,37.452598571777344,10.0,0.11131102591753006,0.30546560883522034,0.4314901530742645,48.717002868652344,14.0,5000.0,25011.0,0.13285551592707634,2.6868070755153894,1.1554861813783646,3.842293256893754,197218304.0,45778563,45778563,1478403,1478403,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,checkpoints/alignment_v4/siglip2/sensitivity/matched_baseline__seed_43/best.pt,723279812231cad20123a1fcf8effae24a474cce59d08e5559f4df8614db6b8e
