kind,experiment_id,i2t_R@1__mean,i2t_R@1__std,i2t_R@1__count,t2i_R@1__mean,t2i_R@1__std,t2i_R@1__count,mean_R@1__mean,mean_R@1__std,mean_R@1__count,bidirectional_pair_latency_ms__mean,bidirectional_pair_latency_ms__std,bidirectional_pair_latency_ms__count,params_total_inference__mean,params_total_inference__std,params_total_inference__count,params_trainable_inference__mean,params_trainable_inference__std,params_trainable_inference__count
sensitivity,distill_strength_1p0,0.2644999921321869,0.0035355305341848568,2,0.20133141428232193,2.826999863868217e-05,2,0.2329157032072544,0.0017536302677730873,2,3.804718228057027,0.04703274826629974,2,45778563.0,0.0,2,1478403.0,0.0,2
sensitivity,matched_baseline,0.15550000220537186,0.001555629641824971,2,0.11057135090231895,0.0010460584382600705,2,0.1330356765538454,0.0002547856017824502,2,3.8339007971808314,0.011868730347684915,2,45778563.0,0.0,2,1478403.0,0.0,2
