index,run_id,experiment_id,batch_size,target_age_steps,memory_queue_size,queue_mode,seed,memberships,dev_R@1
54,b1024__age_32__both__seed_42,queue_factorial,1024,32,32768,both,42,['grid1_matched_age'],0.12005753442645073
55,b1024__age_32__both__seed_43,queue_factorial,1024,32,32768,both,43,['grid1_matched_age'],0.12065837532281876
56,b1024__age_32__both__seed_44,queue_factorial,1024,32,32768,both,44,['grid1_matched_age'],0.11983776837587357
57,b1024__age_64__both__seed_42,queue_factorial,1024,64,65536,both,42,"['grid1_matched_age', 'grid2_modality']",0.10832036659121513
58,b1024__age_64__both__seed_43,queue_factorial,1024,64,65536,both,43,"['grid1_matched_age', 'grid2_modality']",0.10817937180399895
59,b1024__age_64__both__seed_44,queue_factorial,1024,64,65536,both,44,"['grid1_matched_age', 'grid2_modality']",0.10853960737586021
60,b1024__age_64__image_only__seed_42,queue_factorial,1024,64,65536,image_only,42,['grid2_modality'],0.23561564087867737
61,b1024__age_64__image_only__seed_43,queue_factorial,1024,64,65536,image_only,43,['grid2_modality'],0.23535659909248352
62,b1024__age_64__image_only__seed_44,queue_factorial,1024,64,65536,image_only,44,['grid2_modality'],0.23905611038208008
63,b1024__age_64__text_only__seed_42,queue_factorial,1024,64,65536,text_only,42,['grid2_modality'],0.19734517484903336
64,b1024__age_64__text_only__seed_43,queue_factorial,1024,64,65536,text_only,43,['grid2_modality'],0.20298489183187485
65,b1024__age_64__text_only__seed_44,queue_factorial,1024,64,65536,text_only,44,['grid2_modality'],0.18476679921150208
