config_id,vision_encoder,text_encoder,variant,best_epoch,checkpoint,checkpoint_bytes,shared_dim,image_size,parameters,trainable_parameters,parameter_bytes,device,device_name,torch_version,batch_size,warmup,repeats,profile_signature,status,batch_latency_seconds,latency_ms,throughput_batches_per_second,throughput_samples_per_second,peak_allocated_bytes,peak_reserved_bytes,flops,flops_per_batch,macs_estimate_per_batch
dinov2_vits14__bge_small_en__baseline,dinov2_vits14,bge_small_en,baseline,2,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/dinov2_vits14_bge_small_en_baseline/best.pt,236040067,256,224,56599809,1183233,226399236,cuda:0,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.8.0+cu128,8,2,5,8b4f8ce672d1900f8f90,complete,0.0083428498357534,8.34284983575344,119.86311868091896,958.9049494473516,284867072.0,337641472.0,101753225216.0,101753225216.0,50876612608.0
dinov2_vits14__bge_small_en__local,dinov2_vits14,bge_small_en,local,2,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/dinov2_vits14_bge_small_en_local/best.pt,236945636,256,224,56673377,1256801,226693508,cuda:0,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.8.0+cu128,8,2,5,8b4f8ce672d1900f8f90,complete,0.008540116250514984,8.540116250514984,117.0944247907279,936.7553983258232,285173760.0,337641472.0,102454394880.0,102454394880.0,51227197440.0
dinov2_vits14__distilbert__baseline,dinov2_vits14,distilbert,baseline,1,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/dinov2_vits14_distilbert_baseline/best.pt,370371762,256,224,89799297,1379841,359197188,cuda:0,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.8.0+cu128,8,2,5,8b4f8ce672d1900f8f90,complete,0.0076550730504095,7.655073050409555,130.63232622535182,1045.0586098028143,419219456.0,471859200.0,105491136512.0,105491136512.0,52745568256.0
dinov2_vits14__e5_small_v2__baseline,dinov2_vits14,e5_small_v2,baseline,1,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/dinov2_vits14_e5_small_v2_baseline/best.pt,236040067,256,224,56599809,1183233,226399236,cuda:0,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.8.0+cu128,8,2,5,8b4f8ce672d1900f8f90,complete,0.0086885106749832,8.688510674983263,115.0945239532581,920.7561916260648,285366784.0,337641472.0,102439780352.0,102439780352.0,51219890176.0
efficientnet_b0__all_minilm_l6_v2__baseline,efficientnet_b0,all_minilm_l6_v2,baseline,2,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/efficientnet_b0_all_minilm_l6_v2_baseline/best.pt,126937664,256,224,28362749,1641985,113450996,cuda:0,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.8.0+cu128,8,2,5,8b4f8ce672d1900f8f90,complete,0.0041430678218603,4.143067821860313,241.36703597359448,1930.936287788756,224102912.0,276824064.0,8058646016.0,8058646016.0,4029323008.0
efficientnet_b0__bge_small_en__baseline,efficientnet_b0,bge_small_en,baseline,1,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/efficientnet_b0_bge_small_en_baseline/best.pt,169560736,256,224,39009533,1641985,156038132,cuda:0,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.8.0+cu128,8,2,5,8b4f8ce672d1900f8f90,complete,0.0047560099512338,4.756009951233864,210.26028335802104,1682.0822668641683,267148800.0,320864256.0,9936129536.0,9936129536.0,4968064768.0
efficientnet_b0__distilbert__baseline,efficientnet_b0,distilbert,baseline,1,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/efficientnet_b0_distilbert_baseline/best.pt,303888207,256,224,72209021,1838593,288836084,cuda:0,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.8.0+cu128,8,2,5,8b4f8ce672d1900f8f90,complete,0.0038054921664297,3.805492166429758,262.7780997216404,2102.224797773122,399502336.0,455081984.0,13674040832.0,13674040832.0,6837020416.0
efficientnet_b0__e5_small_v2__baseline,efficientnet_b0,e5_small_v2,baseline,1,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/efficientnet_b0_e5_small_v2_baseline/best.pt,169560736,256,224,39009533,1641985,156038132,cuda:0,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.8.0+cu128,8,2,5,8b4f8ce672d1900f8f90,complete,0.0046094226650893,4.609422665089369,216.94690911591888,1735.575272927351,266165760.0,320864256.0,10622684672.0,10622684672.0,5311342336.0
swin_tiny__all_minilm_l6_v2__baseline,swin_tiny,all_minilm_l6_v2,baseline,2,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/swin_tiny_all_minilm_l6_v2_baseline/best.pt,217612519,256,224,51612411,1379841,206449644,cuda:0,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.8.0+cu128,8,2,5,8b4f8ce672d1900f8f90,complete,0.0060414819978177,6.041481997817755,165.52230071383318,1324.1784057106654,344954368.0,455081984.0,73738674176.0,73738674176.0,36869337088.0
swin_tiny__bge_small_en__baseline,swin_tiny,bge_small_en,baseline,2,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/swin_tiny_bge_small_en_baseline/best.pt,260235527,256,224,62259195,1379841,249036780,cuda:0,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.8.0+cu128,8,2,5,8b4f8ce672d1900f8f90,complete,0.00730333160609,7.303331606090069,136.92381147887693,1095.3904918310154,387738112.0,513802240.0,75616157696.0,75616157696.0,37808078848.0
swin_tiny__distilbert__baseline,swin_tiny,distilbert,baseline,1,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/swin_tiny_distilbert_baseline/best.pt,394567286,256,224,95458683,1576449,381834732,cuda:0,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.8.0+cu128,8,2,5,8b4f8ce672d1900f8f90,complete,0.0062012113630771,6.201211363077164,161.25881564917023,1290.0705251933618,521992192.0,650117120.0,79354068992.0,79354068992.0,39677034496.0
swin_tiny__e5_small_v2__baseline,swin_tiny,e5_small_v2,baseline,1,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/swin_tiny_e5_small_v2_baseline/best.pt,260235527,256,224,62259195,1379841,249036780,cuda:0,NVIDIA RTX PRO 6000 Blackwell Server Edition,2.8.0+cu128,8,2,5,8b4f8ce672d1900f8f90,complete,0.0069134360179305,6.913436017930508,144.64587470057234,1157.166997604579,387541504.0,513802240.0,76302712832.0,76302712832.0,38151356416.0
