vision_encoder,multitask_performance_score,best_pair_performance,unique_win_contribution,oracle_contribution,cross_task_specialisation,seed_reliability_score,seed_evidence_pairs,selection_score,architecture_family,latency_ms,peak_allocated_bytes,parameters,output_dim,token_interface_expected,latency_score,memory_score,efficiency_score,best_pair,reliability_status,selection_order,role,evidence_role
dinov2_vits14,0.6934782608695652,0.8347826086956521,0.10889159316595909,0.007763052424405006,0.08545622697860994,0.4166666666666667,2,0.6028804347826088,plain_vit,6.096575781702995,242279936.0,22056576,384,True,0.2,0.8,0.44000000000000006,dinov2_vits14__all_minilm_l6_v2__local,inconclusive,1,primary,strong semantic vision expert
convnext_tiny,0.5717391304347826,0.7347826086956522,0.09816264984791553,0.005442673107890433,0.09609403967598953,0.25,0,0.5784374999999999,convnext_cnn,4.073608573526144,328419840.0,27820128,768,True,0.8,0.6,0.72,convnext_tiny__all_minilm_l6_v2__baseline,not_tested,2,primary,local/hierarchical vision expert
efficientnet_b0,0.2326086956521739,0.30869565217391304,0.06692533288805932,0.004327690552871642,0.11546350214322437,0.25,0,0.570828804347826,efficient_cnn,1.8992012366652489,224102912.0,4007548,1280,True,1.0,1.0,1.0,efficientnet_b0__bge_small_en__baseline,not_tested,3,primary,complementary vision expert
