array_index,kind,experiment_id,run_id,reference_id
0,reference,mobileclip2_s0_dfndr2b,flickr30k__mobileclip2_s0_dfndr2b,mobileclip2_s0_dfndr2b
1,reference,siglip2_vit_b32_256_webli,flickr30k__siglip2_vit_b32_256_webli,siglip2_vit_b32_256_webli
