kind,experiment_id,mean,std,count,min,max,ci95_halfwidth,ci_note
sensitivity,distill_strength_1p0,0.22357820346951485,0.00014160814264054008,2,0.2234780713915825,0.2236783355474472,0.0012722781822085377,Student-t; unstable small-n interval
sensitivity,matched_baseline,0.1330356765538454,0.0002547856017824502,2,0.13285551592707634,0.13321583718061447,0.0022891209237277505,Student-t; unstable small-n interval
