experiment_id,seed,mean_R@1,i2t_R@1,t2i_R@1,run_id
distill_strength_1p0,42,0.3875294625759125,0.4544000029563904,0.32065892219543457,distill_strength_1p0__seed_42
distill_strength_1p0,43,0.3826298117637634,0.44620001316070557,0.3190596103668213,distill_strength_1p0__seed_43
distill_strength_1p0,44,0.38158999383449554,0.4449999928474426,0.31817999482154846,distill_strength_1p0__seed_44
matched_baseline,42,0.37539152801036835,0.43959999084472656,0.31118306517601013,matched_baseline__seed_42
matched_baseline,43,0.3722924292087555,0.4374000132083893,0.3071848452091217,matched_baseline__seed_43
matched_baseline,44,0.3706117421388626,0.4309999942779541,0.3102234899997711,matched_baseline__seed_44
