arm,independent_repetitions,q3_mean_ms,q3_median_ms,q3_sd_ms,q3_min_ms,q3_max_ms,q3_mean_ci95_low_ms,q3_mean_ci95_high_ms,image_q3_mean_ms,text_q3_mean_ms,paired_delta_vs_openclip_mean_ms,paired_delta_vs_openclip_ci95_low_ms,paired_delta_vs_openclip_ci95_high_ms,point_estimate_latency_eligible,uncertainty_classification_vs_openclip,paired_delta_vs_m_t1_mean_ms,paired_delta_vs_m_t1_ci95_low_ms,paired_delta_vs_m_t1_ci95_high_ms,adaptation_overhead_classification
M_T1,10,9.148027887567878,9.127808269113302,0.06457528428019259,9.121295297518373,9.331161621958017,9.125205967575312,9.189904817030765,7.350753177888691,1.8032801104709506,-0.11872095055878162,-0.13912424037698656,-0.08028291864320639,True,FASTER,,,,
vision,10,9.168295422568917,9.126391261816025,0.1312814952747713,9.123608004301786,9.54177463427186,9.125261835288256,9.251820839126594,7.366489223204553,1.7992999870330095,-0.09845341555774212,-0.1396330032730475,-0.01796476426534355,True,FASTER,0.020267535001039505,-0.0021881231805309653,0.06313796620815992,LATENCY_EQUIVALENT
text,10,9.172739670611918,9.12970956414938,0.14039610960803714,9.119352092966437,9.572013514116406,9.12586273625493,9.262755502131768,7.39800117444247,1.7921984428539872,-0.09400916751474142,-0.13969141233246773,-0.007061859359964749,True,FASTER,0.024711783044040203,-0.0017918943194672465,0.07392277475446463,LATENCY_EQUIVALENT
dual,10,9.165536588989198,9.120689472183585,0.13849932573602117,9.11734951660037,9.559489320963621,9.11975986964535,9.254077710211277,7.366508943960071,1.7925695981830359,-0.10121224913746119,-0.14487765729427338,-0.016042466741055257,True,FASTER,0.01750870142132044,-0.0076514307875186205,0.06520107854157686,LATENCY_EQUIVALENT
openclip_vit_b32_quickgelu_openai,10,9.26674883812666,9.26358241122216,0.007367335079098941,9.262051666155457,9.280867408961058,9.26307556044776,9.271859982982278,5.417561484500766,3.9226507768034935,,,,,,,,,
