arm,independent_repetitions,q3_mean_ms,q3_median_ms,q3_sd_ms,q3_mean_ci95_low_ms,q3_mean_ci95_high_ms,image_q3_mean_ms,text_q3_mean_ms,paired_delta_vs_openclip_mean_ms,paired_delta_vs_openclip_ci95_low_ms,paired_delta_vs_openclip_ci95_high_ms,classification_vs_openclip,parent,paired_delta_vs_parent_mean_ms,paired_delta_vs_parent_ci95_low_ms,paired_delta_vs_parent_ci95_high_ms,classification_vs_parent
frozen_no_merge,10,9.141486627049744,9.104493889026344,0.12982697800572332,9.09461158735212,9.22596957301721,7.383213867433369,1.7792006488889456,-0.026960880495607853,-0.05429152341093868,-0.006533006089739527,FASTER,,,,,
dual_lora_no_merge,10,9.136509732343256,9.097097325138748,0.13070543666211423,9.091503959498368,9.220778931048699,7.3797412449494,1.7704676371067762,-0.03193777520209551,-0.059431279078125954,-0.011527128517627732,FASTER,,,,,
frozen_block8,10,8.20412051398307,8.16696835681796,0.08713899843178151,8.165219442453235,8.259404372074641,6.3110715709626675,1.777748134918511,-0.9643269935622811,-1.0264116385951638,-0.9205406764522195,FASTER,frozen_no_merge,-0.9373661130666733,-0.9758997551398352,-0.9038915706332773,FASTER
frozen_block6,10,7.573016476817429,7.544280495494604,0.06826823424625938,7.542291387217119,7.617522550281137,5.68507167045027,1.7755883745849133,-1.595431030727923,-1.6679338493850082,-1.5481781447306275,FASTER,frozen_no_merge,-1.568470150232315,-1.6170913918176666,-1.5335615415824577,FASTER
dual_block8,10,8.20269794203341,8.156466530635953,0.10361662967483624,8.151660112198442,8.274802219239064,6.318849255330861,1.769026299007237,-0.9657495655119419,-1.0422087943879887,-0.8978077414212748,FASTER,dual_lora_no_merge,-0.9338117903098464,-0.9885547572048381,-0.8713052287930623,FASTER
dual_block6,10,7.555533852428198,7.531325914897025,0.05905361269870494,7.528849400696345,7.593228841433302,5.6666003772988915,1.7699419986456633,-1.6129136551171541,-1.6904153337236494,-1.5646004129666835,FASTER,dual_lora_no_merge,-1.5809758799150586,-1.6349680256098509,-1.5436579135712236,FASTER
openclip_vit_b32_quickgelu_openai,10,9.168447507545352,9.130181861110032,0.16803845398364678,9.104316522134468,9.279811101150699,5.35466147121042,3.87228736653924,,,,,,,,,
