class_index,class,accuracy,samples
0,annual crop,0.0,450
1,forest,0.15777777135372162,450
2,herbaceous vegetation,0.12444444745779037,450
3,highway,0.20533333718776703,375
4,industrial,0.6293333172798157,375
5,pasture,0.1966666728258133,300
6,permanent crop,0.35199999809265137,375
7,residential,0.002222222276031971,450
8,river,0.24799999594688416,375
9,sea lake,0.2177777737379074,450
