variant,image_token_aggregation,added_inference_trainable_parameters,inference_trainable_parameters,image_flops,full_stack_median_ms,full_stack_q1_ms,full_stack_q3_ms,full_stack_iqr_ms,delta_from_contemporaneous_baseline_ms,median_below_openclip_ceiling
baseline_cls,cls,0,1478403,9397685376.0,8.630122523754835,8.487368002533913,8.656511316075921,0.1691433135420084,0.0,True
A_cls_mean_concat,cls_mean_concat,295296,1773699,9398275200.0,8.485222700983286,8.47310060635209,8.494049776345491,0.020949169993400574,-0.14489982277154922,True
B_learned_query_attention,learned_query_attention,165761,1644164,,8.550397120416164,8.414274547249079,8.560544112697244,0.14626956544816494,-0.07972540333867073,True
C_transformer_128,transformer_128,232065,1710468,9488100480.0,8.49999813362956,8.49196664057672,8.506266633048654,0.014299992471933365,-0.13012439012527466,True
