class_index,class,accuracy,samples
0,annual crop,0.002222222276031971,450
1,forest,0.17555555701255798,450
2,herbaceous vegetation,0.09111110866069794,450
3,highway,0.35199999809265137,375
4,industrial,0.7200000286102295,375
5,pasture,0.1899999976158142,300
6,permanent crop,0.0,375
7,residential,0.0,450
8,river,0.25600001215934753,375
9,sea lake,0.8088889122009277,450
