array_index,question,loss_type,captions_per_image,batch_size,sweep_multiplier,locked_student_text_encoder,adoption_status,student_pair_changed,student_pair_decision_permanent_for_study,vision_encoder,text_encoder,memory_queue_size,hardware_profile,precision_mode,experiment_id,run_id,seed
0,Which of the top three ViT-S/16 text encoders has the strongest three-seed mean under the locked recipe?,infonce_no_queue,,1024,3.0,all_minilm_l6_v2,DECIDED_KEEP_MINILM,False,True,dinov3_vits16,e5_small_v2,0,teaching,native_bf16,dinov3_vits16__e5_small_v2,dinov3_vits16__e5_small_v2__seed_43__hw_teaching_native_bf16,43
1,Which of the top three ViT-S/16 text encoders has the strongest three-seed mean under the locked recipe?,infonce_no_queue,,1024,3.0,all_minilm_l6_v2,DECIDED_KEEP_MINILM,False,True,dinov3_vits16,e5_small_v2,0,teaching,native_bf16,dinov3_vits16__e5_small_v2,dinov3_vits16__e5_small_v2__seed_44__hw_teaching_native_bf16,44
2,Which of the top three ViT-S/16 text encoders has the strongest three-seed mean under the locked recipe?,infonce_no_queue,,1024,3.0,all_minilm_l6_v2,DECIDED_KEEP_MINILM,False,True,dinov3_vits16,bge_small_en,0,teaching,native_bf16,dinov3_vits16__bge_small_en,dinov3_vits16__bge_small_en__seed_43__hw_teaching_native_bf16,43
3,Which of the top three ViT-S/16 text encoders has the strongest three-seed mean under the locked recipe?,infonce_no_queue,,1024,3.0,all_minilm_l6_v2,DECIDED_KEEP_MINILM,False,True,dinov3_vits16,bge_small_en,0,teaching,native_bf16,dinov3_vits16__bge_small_en,dinov3_vits16__bge_small_en__seed_44__hw_teaching_native_bf16,44
4,Which of the top three ViT-S/16 text encoders has the strongest three-seed mean under the locked recipe?,infonce_no_queue,,1024,3.0,all_minilm_l6_v2,DECIDED_KEEP_MINILM,False,True,dinov3_vits16,all_minilm_l6_v2,0,teaching,native_bf16,dinov3_vits16__all_minilm_l6_v2,dinov3_vits16__all_minilm_l6_v2__seed_43__hw_teaching_native_bf16,43
5,Which of the top three ViT-S/16 text encoders has the strongest three-seed mean under the locked recipe?,infonce_no_queue,,1024,3.0,all_minilm_l6_v2,DECIDED_KEEP_MINILM,False,True,dinov3_vits16,all_minilm_l6_v2,0,teaching,native_bf16,dinov3_vits16__all_minilm_l6_v2,dinov3_vits16__all_minilm_l6_v2__seed_44__hw_teaching_native_bf16,44
