array_index,loss_type,captions_per_image,batch_size,memory_queue_size,sweep_multiplier,experiment_id,run_id,seed
0,sigmoid,2,512,0,0.3333333333333333,sigmoid__captions_2__b512__lr_0p3333333333333333,sigmoid__captions_2__b512__lr_0p3333333333333333__seed_42,42
1,sigmoid,2,512,0,3.0,sigmoid__captions_2__b512__lr_3p0,sigmoid__captions_2__b512__lr_3p0__seed_42,42
2,sigmoid,2,1024,0,0.3333333333333333,sigmoid__captions_2__b1024__lr_0p3333333333333333,sigmoid__captions_2__b1024__lr_0p3333333333333333__seed_42,42
3,sigmoid,2,1024,0,3.0,sigmoid__captions_2__b1024__lr_3p0,sigmoid__captions_2__b1024__lr_3p0__seed_42,42
4,sigmoid,2,2048,0,0.3333333333333333,sigmoid__captions_2__b2048__lr_0p3333333333333333,sigmoid__captions_2__b2048__lr_0p3333333333333333__seed_42,42
5,sigmoid,2,2048,0,3.0,sigmoid__captions_2__b2048__lr_3p0,sigmoid__captions_2__b2048__lr_3p0__seed_42,42
