status,source,kind,experiment_id,run_id,seed,i2t_R@1,i2t_R@5,i2t_R@10,mean_rank_i2t,median_rank_i2t,t2i_R@1,t2i_R@5,t2i_R@10,mean_rank_t2i,median_rank_t2i,num_image_queries,num_text_queries,mean_R@1,image_query_latency_ms,text_query_latency_ms,bidirectional_pair_latency_ms,peak_inference_memory_bytes,params_total_training,params_total_inference,params_trainable_training,params_trainable_inference,params_training_only,gpu,checkpoint,fingerprint_digest,reused_lr_calibration_run_id,reused_without_retraining,training_code_version,evaluation_code_version,resolved_lr,sqrt_scale_factor,sweep_multiplier,memory_queue_size,historical_slurm_array_job,historical_slurm_array_index,evaluation_only
COMPLETE,measured_local,wave0-screen,infonce_no_queue__captions_all__b2048,infonce_no_queue__captions_all__b2048__seed_42,42,0.3898000121116638,0.6868000030517578,0.7928000092506409,10.909799575805664,2.0,0.27615848183631897,0.5669105648994446,0.6911758780479431,23.004117965698242,4.0,5000.0,25011.0,0.3329792469739914,2.7450570464134216,1.166366320103407,3.9114233665168285,197218304.0,45778563,45778563,1478403,1478403,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,checkpoints/alignment_v4_wave0/wave0-screen/infonce_no_queue__captions_all__b2048__seed_42/best.pt,6ce04dc90ab42fa917c537a798a0fe755a3bb286f825fd7fe960be954f85bff0,,,,,,,,,,,
COMPLETE,measured_local,wave0-screen,infonce_no_queue__captions_all__b512,infonce_no_queue__captions_all__b512__seed_42,42,0.41679999232292175,0.7098000049591064,0.8203999996185303,9.165200233459473,2.0,0.2929111123085022,0.5894606113433838,0.7167246341705322,19.771940231323242,4.0,5000.0,25011.0,0.354855552315712,2.7318300865590572,1.1336148623377085,3.8654449488967657,197218304.0,45778563,45778563,1478403,1478403,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,checkpoints/alignment_v4_wave0/wave0-screen/infonce_no_queue__captions_all__b512__seed_42/best.pt,78d627db1e8bafbaf5348fef4f62fc2d11f29c7bddbfd99deae82dd1e03f6ac7,,,,,,,,,,,
COMPLETE,measured_local,wave0-screen,infonce_queue__captions_2__b1024,infonce_queue__captions_2__b1024__seed_42,42,0.16419999301433563,0.40540000796318054,0.5375999808311462,35.687198638916016,9.0,0.11998720467090607,0.3282955586910248,0.45863819122314453,44.88768768310547,13.0,5000.0,25011.0,0.14209359884262085,2.7088981680572033,1.1496738996356726,3.858572067692876,197218304.0,45778563,45778563,1478403,1478403,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,checkpoints/alignment_v4_wave0/wave0-screen/infonce_queue__captions_2__b1024__seed_42/best.pt,221af89a5c231b5d0d6eb2d33cb823d70461e25f2abbcee26b849eb7e9b58021,,,,,,,,,,,
COMPLETE,measured_local,wave0-screen,infonce_queue__captions_2__b2048,infonce_queue__captions_2__b2048__seed_42,42,0.1907999962568283,0.4453999996185303,0.5726000070571899,29.865800857543945,7.0,0.149534210562706,0.3778737485408783,0.513134241104126,37.464317321777344,10.0,5000.0,25011.0,0.17016710340976715,2.7094167843461037,1.1556460335850716,3.8650628179311752,197218304.0,45778563,45778563,1478403,1478403,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,checkpoints/alignment_v4_wave0/wave0-screen/infonce_queue__captions_2__b2048__seed_42/best.pt,2fcc989053c61ca735f5459b70058a4c0e52acd80ec8b2b454dbf3d85b4139ca,,,,,,,,,,,
COMPLETE,measured_local,wave0-screen,infonce_queue__captions_2__b512,infonce_queue__captions_2__b512__seed_42,42,0.1565999984741211,0.384799987077713,0.5145999789237976,37.67720031738281,10.0,0.10983167588710785,0.3057854473590851,0.4331693947315216,48.54068374633789,14.0,5000.0,25011.0,0.13321583718061447,2.7359725069254637,1.157849682494998,3.8938221894204617,197218304.0,45778563,45778563,1478403,1478403,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,checkpoints/alignment_v4_wave0/wave0-screen/infonce_queue__captions_2__b512__seed_42/best.pt,0881ebde5408907614ba015f15dd5cbb6d1651e4afa408723d38183ddf8f8631,,,,,,,,,,,
COMPLETE,measured_local,wave0-screen,infonce_queue__captions_all__b1024,infonce_queue__captions_all__b1024__seed_42,42,0.18639999628067017,0.43959999084472656,0.579200029373169,28.9768009185791,7.0,0.1490144282579422,0.3778737485408783,0.5117348432540894,37.545318603515625,10.0,5000.0,25011.0,0.16770721226930618,2.7087617944926023,1.1723398603498936,3.881101654842496,197218304.0,45778563,45778563,1478403,1478403,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,checkpoints/alignment_v4_wave0/wave0-screen/infonce_queue__captions_all__b1024__seed_42/best.pt,a512442b25c3bec80c06356bcd4c00097814634d01e31796e9661cfd150ab384,,,,,,,,,,,
COMPLETE,measured_local,wave0-screen,infonce_queue__captions_all__b2048,infonce_queue__captions_all__b2048__seed_42,42,0.2176000028848648,0.4749999940395355,0.6082000136375427,25.442800521850586,6.0,0.1726040542125702,0.41509735584259033,0.5519571304321289,33.38922882080078,8.0,5000.0,25011.0,0.1951020285487175,2.711734287440777,1.1538159102201462,3.865550197660923,197218304.0,45778563,45778563,1478403,1478403,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,checkpoints/alignment_v4_wave0/wave0-screen/infonce_queue__captions_all__b2048__seed_42/best.pt,367e6277061bb496383a3f89259cdda6660887c53c8fe23cfb50342c55d5e0b0,,,,,,,,,,,
COMPLETE,measured_local,wave0-screen,infonce_queue__captions_all__b512,infonce_queue__captions_all__b512__seed_42,42,0.16740000247955322,0.412200003862381,0.5490000247955322,32.837398529052734,8.0,0.12982288002967834,0.34528806805610657,0.4772700071334839,41.70112991333008,12.0,5000.0,25011.0,0.14861144125461578,2.726543201133609,1.1815053038299084,3.908048504963517,197218304.0,45778563,45778563,1478403,1478403,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,checkpoints/alignment_v4_wave0/wave0-screen/infonce_queue__captions_all__b512__seed_42/best.pt,1a0593fbbae1a0d2b274a250d7300019bfe975edbfdc6b4fb25fb56b3d75a138,,,,,,,,,,,
COMPLETE,measured_local,wave0-screen,sigmoid__captions_2__b1024,sigmoid__captions_2__b1024__seed_42,42,0.4198000133037567,0.7156000137329102,0.8289999961853027,8.833000183105469,2.0,0.30126744508743286,0.6009355783462524,0.7250809669494629,18.954580307006836,3.0,5000.0,25011.0,0.3605337291955948,2.7198676578700542,1.1243969295173883,3.8442645873874426,197219328.0,45778565,45778565,1478405,1478405,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,checkpoints/alignment_v4_wave0/wave0-lrsweep/sigmoid__captions_2__b1024__lr_3p0__seed_42/best.pt,760ac4d5cb5453e163813de8202d3d90567913493a883b2305fa978b4be64c2f,sigmoid__captions_2__b1024__lr_3p0__seed_42,True,,,,,,,,,
COMPLETE,measured_local,wave0-screen,sigmoid__captions_2__b2048,sigmoid__captions_2__b2048__seed_42,42,0.4262000024318695,0.7071999907493591,0.8130000233650208,9.306400299072266,2.0,0.29782894253730774,0.5925393104553223,0.7162848114967346,19.84874725341797,4.0,5000.0,25011.0,0.3620144724845886,2.722128676250577,1.1152720544487238,3.8374007306993008,197219328.0,45778565,45778565,1478405,1478405,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,checkpoints/alignment_v4_wave0/wave0-lrsweep/sigmoid__captions_2__b2048__lr_3p0__seed_42/best.pt,07395ee949ab0cd50453affaeed69ec5fea9de23b9ea298b5990b1b8aa218cbd,sigmoid__captions_2__b2048__lr_3p0__seed_42,True,,,,,,,,,
