headline,run_name,vision_encoder,text_encoder,use_local_blf,use_global_blf,epochs_requested,seed,selection_metric,best_epoch,best_i2t_R@1,best_t2i_R@1,best_mean_R@1,best_i2t_R@5,best_i2t_R@10,best_t2i_R@5,best_t2i_R@10,best_val_loss,mean_rank_i2t,mean_rank_t2i,params_total,params_trainable,best_checkpoint
Baseline ConvNeXt-Tiny + MiniLM,baseline_convnext_tiny_minilm_l6,convnext_tiny,minilm_l6,False,False,15,42,i2t_R@1,2,0.14259999990463257,0.1509999930858612,0.1467999964952469,0.36820000410079956,0.5109999775886536,0.39660000801086426,0.5347999930381775,0.5676007893266557,34.56700134277344,35.40959930419922,51913185.0,1379841.0,checkpoints/finalist_convnext_tiny_minilm_l6_baseline_15ep/best.pt
BLF ConvNeXt-Tiny + MiniLM,blf_local_global_convnext_tiny_minilm_l6,convnext_tiny,minilm_l6,True,True,15,42,i2t_R@1,2,0.14100000262260437,0.15119999647140503,0.1460999995470047,0.37940001487731934,0.5192000269889832,0.3944000005722046,0.5360000133514404,0.5626809633796728,32.75899887084961,33.20759963989258,52089057.0,1555713.0,checkpoints/finalist_convnext_tiny_minilm_l6_local_global_15ep/best.pt
