comparison,variant,metric,n,baseline_mean,candidate_mean,mean_delta,delta_std,delta_ci95_half_width,wins,ties,losses
convnextv2_minilm_local_global,local_global,coco5_i2t_R@1,5,0.17732000052928917,0.18212000131607056,0.00480000078678135,0.010903209439839913,0.013535952265117774,3,0,2
dinov2_minilm_local,local,coco5_i2t_R@1,5,0.18775999844074245,0.193240001797676,0.005480003356933572,0.006797941844169884,0.008439406471227179,4,0,1
