comparison,variant,n,mean,std,min,max,sem,ci95_half_width
convnextv2_minilm_local_global,baseline,5,0.1773200005292892,0.007886187174250717,0.1684000045061111,0.1861999928951263,0.0035268101209823166,0.00979042489584691
convnextv2_minilm_local_global,local_global,5,0.18212000131607053,0.00534714905304665,0.1762000024318695,0.1878000050783157,0.0023913177536871878,0.006638298084235632
dinov2_minilm_local,baseline,5,0.18775999844074245,0.007301236931768868,0.179199993610382,0.1976000070571899,0.0032652124198534363,0.009064229677513138
dinov2_minilm_local,local,5,0.19324000179767603,0.0034099802218883445,0.1888000071048736,0.1977999955415725,0.0015249895156144307,0.00423337089534566
