comparison,run_name,vision_encoder,text_encoder,variant,use_local_blf,use_global_blf,seed,batch_size,epochs_requested,selection_metric,best_epoch,completed_epoch,stopped_early,val_loss,i2t_R@1,i2t_R@5,i2t_R@10,t2i_R@1,t2i_R@5,t2i_R@10,mean_rank_i2t,median_rank_i2t,mean_rank_t2i,median_rank_t2i,num_image_queries,num_text_queries,params_total,params_trainable,coco5_val_loss,coco5_i2t_R@1,coco5_i2t_R@5,coco5_i2t_R@10,coco5_t2i_R@1,coco5_t2i_R@5,coco5_t2i_R@10,coco5_mean_rank_i2t,coco5_median_rank_i2t,coco5_mean_rank_t2i,coco5_median_rank_t2i,coco5_num_image_queries,coco5_num_text_queries,best_checkpoint
dinov2_minilm_local,dinov2_minilm_local_baseline_seed42,dinov2_vits14,all_minilm_l6_v2,baseline,False,False,42,64,5,i2t_R@1,2,5,False,0.5699323314371743,0.1444000005722046,0.3806000053882599,0.5278000235557556,0.149399995803833,0.39399999380111694,0.5415999889373779,35.87419891357422,9.0,34.61220169067383,9.0,5000.0,5000.0,45953025.0,1183233.0,nan,0.17919999361038208,0.44699999690055847,0.5885999798774719,0.1543535590171814,0.4019748866558075,0.5470536351203918,27.209199905395508,7.0,33.23926544189453,9.0,5000.0,25014.0,checkpoints/seed_sweep/dinov2_minilm_local_baseline_seed42/best.pt
dinov2_minilm_local,dinov2_minilm_local_baseline_seed43,dinov2_vits14,all_minilm_l6_v2,baseline,False,False,43,64,5,i2t_R@1,2,5,False,0.582380673364748,0.1387999951839447,0.37119999527931213,0.520799994468689,0.14560000598430634,0.3953999876976013,0.5353999733924866,36.96480178833008,10.0,35.9984016418457,9.0,5000.0,5000.0,45953025.0,1183233.0,nan,0.18400000035762787,0.4424000084400177,0.5806000232696533,0.1529543399810791,0.4004557430744171,0.5398976802825928,27.657400131225586,7.0,33.76897048950195,9.0,5000.0,25014.0,checkpoints/seed_sweep/dinov2_minilm_local_baseline_seed43/best.pt
dinov2_minilm_local,dinov2_minilm_local_baseline_seed44,dinov2_vits14,all_minilm_l6_v2,baseline,False,False,44,64,5,i2t_R@1,3,5,False,0.5679080903152877,0.14180000126361847,0.38119998574256897,0.5248000025749207,0.14959999918937683,0.40459999442100525,0.5437999963760376,36.59920120239258,9.0,34.36259841918945,9.0,5000.0,5000.0,45953025.0,1183233.0,nan,0.18539999425411224,0.4560000002384186,0.6021999716758728,0.1570320576429367,0.4100903570652008,0.5518509745597839,26.87980079650879,7.0,32.06080627441406,8.0,5000.0,25014.0,checkpoints/seed_sweep/dinov2_minilm_local_baseline_seed44/best.pt
dinov2_minilm_local,dinov2_minilm_local_baseline_seed45,dinov2_vits14,all_minilm_l6_v2,baseline,False,False,45,64,5,i2t_R@1,3,5,False,0.5674335713250728,0.14480000734329224,0.3882000148296356,0.5342000126838684,0.15539999306201935,0.40059998631477356,0.5432000160217285,34.83720016479492,9.0,34.309600830078125,9.0,5000.0,5000.0,45953025.0,1183233.0,nan,0.19760000705718994,0.460999995470047,0.5992000102996826,0.1605900675058365,0.4075717628002167,0.5489326119422913,26.52400016784668,7.0,31.92088508605957,8.0,5000.0,25014.0,checkpoints/seed_sweep/dinov2_minilm_local_baseline_seed45/best.pt
dinov2_minilm_local,dinov2_minilm_local_baseline_seed46,dinov2_vits14,all_minilm_l6_v2,baseline,False,False,46,64,5,i2t_R@1,3,5,False,0.5694834290048744,0.14259999990463257,0.3822000026702881,0.5307999849319458,0.15719999372959137,0.4106000065803528,0.545799970626831,34.89739990234375,9.0,34.16579818725586,8.0,5000.0,5000.0,45953025.0,1183233.0,nan,0.19259999692440033,0.45339998602867126,0.5943999886512756,0.1632685661315918,0.4114895761013031,0.550611674785614,25.592199325561523,7.0,32.042057037353516,8.0,5000.0,25014.0,checkpoints/seed_sweep/dinov2_minilm_local_baseline_seed46/best.pt
dinov2_minilm_local,dinov2_minilm_local_local_seed42,dinov2_vits14,all_minilm_l6_v2,local,True,False,42,64,5,i2t_R@1,3,5,False,0.5560891635338717,0.15139999985694885,0.3871999979019165,0.5275999903678894,0.1542000025510788,0.40459999442100525,0.5406000018119812,33.97779846191406,9.0,33.12699890136719,9.0,5000.0,5000.0,46026593.0,1256801.0,nan,0.19519999623298645,0.45559999346733093,0.5950000286102295,0.1604701429605484,0.4093307852745056,0.5450947284698486,25.086999893188477,7.0,30.959861755371094,8.0,5000.0,25014.0,checkpoints/seed_sweep/dinov2_minilm_local_local_seed42/best.pt
dinov2_minilm_local,dinov2_minilm_local_local_seed43,dinov2_vits14,all_minilm_l6_v2,local,True,False,43,64,5,i2t_R@1,2,4,True,0.56837094763789,0.14640000462532043,0.382999986410141,0.5239999890327454,0.1501999944448471,0.39899998903274536,0.5364000201225281,36.575401306152344,10.0,34.63859939575195,9.0,5000.0,5000.0,46026593.0,1256801.0,nan,0.19220000505447388,0.46480000019073486,0.6001999974250793,0.16138961911201477,0.40481331944465637,0.5443751215934753,25.891799926757812,6.0,32.85564041137695,9.0,5000.0,25014.0,checkpoints/seed_sweep/dinov2_minilm_local_local_seed43/best.pt
dinov2_minilm_local,dinov2_minilm_local_local_seed44,dinov2_vits14,all_minilm_l6_v2,local,True,False,44,64,5,i2t_R@1,3,5,False,0.5584126194538195,0.1462000012397766,0.3853999972343445,0.526199996471405,0.1573999971151352,0.4106000065803528,0.550000011920929,34.76839828491211,9.0,32.34859848022461,8.0,5000.0,5000.0,46026593.0,1256801.0,nan,0.18880000710487366,0.4449999928474426,0.5917999744415283,0.16286879777908325,0.4100103974342346,0.5530502796173096,25.868600845336914,7.0,30.685575485229492,8.0,5000.0,25014.0,checkpoints/seed_sweep/dinov2_minilm_local_local_seed44/best.pt
dinov2_minilm_local,dinov2_minilm_local_local_seed45,dinov2_vits14,all_minilm_l6_v2,local,True,False,45,64,5,i2t_R@1,3,5,False,0.5550495392725437,0.15320000052452087,0.3864000141620636,0.5335999727249146,0.15379999577999115,0.4074000120162964,0.5544000267982483,34.41640090942383,9.0,33.565399169921875,8.0,5000.0,5000.0,46026593.0,1256801.0,nan,0.19779999554157257,0.4634000062942505,0.6083999872207642,0.1626289337873459,0.41460782289505005,0.5578875541687012,24.60740089416504,7.0,31.36615562438965,8.0,5000.0,25014.0,checkpoints/seed_sweep/dinov2_minilm_local_local_seed45/best.pt
dinov2_minilm_local,dinov2_minilm_local_local_seed46,dinov2_vits14,all_minilm_l6_v2,local,True,False,46,64,5,i2t_R@1,3,5,False,0.5561723873207841,0.15080000460147858,0.38960000872612,0.5297999978065491,0.1581999957561493,0.4036000072956085,0.5497999787330627,33.28739929199219,9.0,33.30059814453125,8.0,5000.0,5000.0,46026593.0,1256801.0,nan,0.19220000505447388,0.4666000008583069,0.6068000197410583,0.16438794136047363,0.41049012541770935,0.5566882491111755,24.7549991607666,6.0,31.96993637084961,8.0,5000.0,25014.0,checkpoints/seed_sweep/dinov2_minilm_local_local_seed46/best.pt
