config_id,vision_encoder,text_encoder,variant,task_id,raw_value,normalised_score,rank,absolute_gap_to_best,relative_gap_to_best
efficientnet_b0__bge_small_en__baseline,efficientnet_b0,bge_small_en,baseline,coco_i2t,0.1077999994158744,0.5522541060257332,20.0,0.087399996817112,0.4477458939742668
convnext_tiny__all_minilm_l6_v2__baseline,convnext_tiny,all_minilm_l6_v2,baseline,coco_i2t,0.1852000057697296,0.9487705396709074,2.0,0.009999990463256808,0.05122946032909259
swin_tiny__bge_small_en__baseline,swin_tiny,bge_small_en,baseline,coco_i2t,0.1342000067234039,0.6875000477111984,14.0,0.06099998950958249,0.31249995228880156
swin_tiny__distilbert__baseline,swin_tiny,distilbert,baseline,coco_i2t,0.101000003516674,0.5174180607878835,21.0,0.0941999927163124,0.48258193921211645
swin_tiny__all_minilm_l6_v2__baseline,swin_tiny,all_minilm_l6_v2,baseline,coco_i2t,0.1449999958276748,0.7428278618131018,13.0,0.050200000405311584,0.2571721381868982
swin_tiny__e5_small_v2__baseline,swin_tiny,e5_small_v2,baseline,coco_i2t,0.125,0.6403688648169991,16.0,0.0701999962329864,0.35963113518300094
dinov2_vits14__all_minilm_l6_v2__local,dinov2_vits14,all_minilm_l6_v2,local,coco_i2t,0.1951999962329864,1.0,1.0,0.0,0.0
convnextv2_tiny__all_minilm_l6_v2__local_global,convnextv2_tiny,all_minilm_l6_v2,local_global,coco_i2t,0.1829999983310699,0.9375000095422397,3.0,0.012199997901916504,0.062499990457760335
dinov2_vits14__bge_small_en__local,dinov2_vits14,bge_small_en,local,coco_i2t,0.1824000030755996,0.9344262632971109,4.0,0.012799993157386808,0.06557373670288913
convnext_tiny__bge_small_en__baseline,convnext_tiny,bge_small_en,baseline,coco_t2i,0.1488366574048996,0.9275037378229987,8.0,0.011633485555648804,0.07249626217700134
convnext_tiny__distilbert__baseline,convnext_tiny,distilbert,baseline,coco_t2i,0.1017030477523803,0.6337817482806382,18.0,0.0587670952081681,0.36621825171936184
convnext_tiny__e5_small_v2__baseline,convnext_tiny,e5_small_v2,baseline,coco_t2i,0.1390421390533447,0.8664673470598716,10.0,0.021428003907203702,0.1335326529401284
convnextv2_tiny__all_minilm_l6_v2__baseline,convnextv2_tiny,all_minilm_l6_v2,baseline,coco_t2i,0.1502358615398407,0.9362231426239597,7.0,0.010234281420707703,0.06377685737604033
