teacher_label,status,proceed,teacher_id,teacher_R@1,teacher_anchor_split,probe_split,baseline_R@1,baseline_seed_values,baseline_seed_std,distilled_R@1,distilled_seed_values,distilled_seed_std,delta_R@1,capture_fraction,distillation_strength,viable_threshold_R@1,nonviable_threshold_R@1,decision,caveat
MobileCLIP2-S0,COMPLETE,False,mobileclip2_s0_dfndr2b,0.5298200398683548,sealed_coco_val_5000,coco_dev_5000,0.1330356765538454,"[0.13321583718061447, 0.13285551592707634]",0.0002547856017824502,0.22357820346951485,"[0.2234780713915825, 0.2236783355474472]",0.00014160814264054008,0.09054252691566944,0.22819076376732442,1.0,0.3,0.22,INCONCLUSIVE_MIDDLE,Teacher anchor is measured on sealed COCO-val while the probe is evaluated on COCO-dev-5000.
SigLIP2-B/32,COMPLETE,False,siglip2_vit_b32_256_webli,0.5688067078590393,sealed_coco_val_5000,coco_dev_5000,0.1330356765538454,"[0.13321583718061447, 0.13285551592707634]",0.0002547856017824502,0.2329157032072544,"[0.23415570706129074, 0.23167569935321808]",0.0017536302677730873,0.099880026653409,0.22920299762527732,1.0,0.3,0.22,INCONCLUSIVE_MIDDLE,Teacher anchor is measured on sealed COCO-val while the probe is evaluated on COCO-dev-5000.
