candidate,added_inference_parameters,total_inference_trainable_parameters,median_ms,q1_ms,q3_ms,iqr_ms,delta_from_contemporaneous_cls_ms,upper_quartile_below_9p48
baseline_cls,0,1478403,8.645359892398119,8.507938589900732,8.656910853460431,0.14897226355969906,0.0,True
C1_d128_h4_b1_ff256,232065,1710468,8.668642956763506,8.658220060169697,8.680246071889997,0.02202601172029972,0.023283064365386963,True
C2_d256_h8_b1_ff512,725121,2203524,8.80002835765481,8.656292455270886,8.810426574200392,0.15413411892950535,0.15466846525669098,True
C3_d128_h4_b2_ff256,364545,1842948,8.635206613689661,8.628590032458305,8.640786865726113,0.01219683326780796,-0.010153278708457947,True
C4_d256_h8_b2_ff512,1252225,2730628,8.848896250128746,8.841921342536807,8.854234591126442,0.012313248589634895,0.20353635773062706,True
C5_d384_h6_b1_ff768_native,1184641,2663044,8.738062810152769,8.731239009648561,8.745493367314339,0.014254357665777206,0.09270291775465012,True
