kind,experiment_id,mean,std,count,min,max,ci95_halfwidth,ci_note
pair,dinov3_convnext_tiny__all_minilm_l6_v2,0.16086731851100922,,1,0.16086731851100922,0.16086731851100922,,not reported
pair,dinov3_convnext_tiny__bge_small_en,0.1419510692358017,,1,0.1419510692358017,0.1419510692358017,,not reported
pair,dinov3_convnext_tiny__e5_small_v2,0.14237211644649506,,1,0.14237211644649506,0.14237211644649506,,not reported
pair,dinov3_vits16__all_minilm_l6_v2,0.17016710340976715,,1,0.17016710340976715,0.17016710340976715,,not reported
pair,dinov3_vits16__bge_small_en,0.1696084514260292,,1,0.1696084514260292,0.1696084514260292,,not reported
pair,dinov3_vits16__e5_small_v2,0.16178973764181137,,1,0.16178973764181137,0.16178973764181137,,not reported
paired_reference,mobileclip2_s0_dfndr2b,0.5298200398683548,,1,0.5298200398683548,0.5298200398683548,,not reported
paired_reference,openclip_vit_b32_quickgelu_openai,0.40187498927116394,,1,0.40187498927116394,0.40187498927116394,,not reported
paired_reference,siglip2_vit_b32_256_webli,0.5688067078590393,,1,0.5688067078590393,0.5688067078590393,,not reported
