candidate,aggregation,flickr_mean_coco_selected,flickr_mean_flickr_selected,selection_gain_pp,sd,min,max,seeds_peaking_at_epoch24,trained_full_stack_latency_median_ms,trained_full_stack_latency_q1_ms,trained_full_stack_latency_q3_ms,inference_trainable_parameters,teacher_heads_excluded,lr_tuned_for_aggregator
A,cls_mean_concat,0.4527942091226578,0.46042077740033466,0.7626568277676882,0.008723395052247554,0.45039448142051697,0.46627217531204224,0,8.637805003672838,8.629701798781753,8.64566839300096,1773699,True,False
B,learned_query_attention,0.5056541711091995,0.5079552928606669,0.230112175146735,0.00516443294134649,0.5046350955963135,0.513905331492424,1,8.755122311413288,8.746998384594917,8.762385230511427,1644164,True,False
C,transformer_128,0.5132478624582291,0.5162064383427302,0.29585758845011023,0.00640063368939891,0.5102564096450806,0.5229782909154892,0,8.846658281981945,8.836937369778752,8.85497685521841,1710468,True,False
