arm,merge_after_block,independent_runs,q3_mean_ms,q3_median_ms,q3_sd_ms,q3_min_ms,q3_max_ms,q3_mean_bootstrap_ci95_low_ms,q3_mean_bootstrap_ci95_high_ms,image_q3_mean_ms,median_repetition_q3_below_9p48,all_repetitions_q3_below_9p48,paired_q3_delta_mean_ms,paired_q3_delta_sd_ms,paired_q3_delta_ci95_low_ms,paired_q3_delta_ci95_high_ms
no_merge,,10,9.121637139469385,9.046860854141414,0.1591239759579734,9.041344746947289,9.452566038817167,9.045522750820965,9.230870141182095,7.3565746657550335,True,True,,,,
merge_after_block_8,8.0,10,8.137653162702918,8.092346484772861,0.09153945404754535,8.070338517427444,8.335838560014963,8.088096098508686,8.19726217770949,6.25622090883553,True,True,-0.9839839767664671,0.08595075992415249,-1.036959543125704,-0.9358285460621119
merge_after_block_6,6.0,10,7.515261578373611,7.475872989743948,0.07937342953346302,7.45631312020123,7.662884425371885,7.473331533255987,7.567428926704451,5.647106328979135,True,True,-1.6063755610957742,0.08661904364511634,-1.6618524299701676,-1.5614425303647295
