experiment_id,vision_encoder,text_encoder,v3_dev_R@1,v3_i2t_R@1,v3_t2i_R@1,v3_rank,rescreen_dev_R@1,rescreen_i2t_R@1,rescreen_t2i_R@1,rescreen_rank
dinov3_vits16__e5_small_v2,dinov3_vits16,e5_small_v2,0.16178973764181137,0.1860000044107437,0.13757947087287903,3,0.38897036015987396,0.46140000224113464,0.3165407180786133,1
dinov3_vits16__bge_small_en,dinov3_vits16,bge_small_en,0.1696084514260292,0.19580000638961792,0.1434168964624405,2,0.38159023225307465,0.44600000977516174,0.31718045473098755,2
dinov3_vits16__all_minilm_l6_v2,dinov3_vits16,all_minilm_l6_v2,0.17016710340976715,0.1907999962568283,0.149534210562706,1,0.3759716749191284,0.4413999915122986,0.31054335832595825,3
dinov3_convnext_tiny__e5_small_v2,dinov3_convnext_tiny,e5_small_v2,0.14237211644649506,0.15800000727176666,0.12674422562122345,5,0.37471143901348114,0.43779999017715454,0.31162288784980774,4
dinov3_convnext_tiny__bge_small_en,dinov3_convnext_tiny,bge_small_en,0.1419510692358017,0.15240000188350677,0.13150213658809662,6,0.3725709319114685,0.4311999976634979,0.3139418661594391,5
dinov3_convnext_tiny__all_minilm_l6_v2,dinov3_convnext_tiny,all_minilm_l6_v2,0.16086731851100922,0.17319999635219574,0.1485346406698227,4,0.3590933382511139,0.41519999504089355,0.30298668146133423,6
