kind,experiment_id,i2t_R@1__mean,i2t_R@1__std,i2t_R@1__count,t2i_R@1__mean,t2i_R@1__std,t2i_R@1__count,mean_R@1__mean,mean_R@1__std,mean_R@1__count,bidirectional_pair_latency_ms__mean,bidirectional_pair_latency_ms__std,bidirectional_pair_latency_ms__count,params_total__mean,params_total__std,params_total__count,params_trainable__mean,params_trainable__std,params_trainable__count
frozen_unimodal,convnext_minilm_residual_mp,0.16646666824817657,0.002900579061193774,3,0.14553183813889822,0.0009171638457178427,3,0.15599925319353738,0.0018762459289449565,3,2.894920241087675,0.07468421330121576,3,52816867.0,0.0,3,2283523.0,0.0,3
frozen_unimodal,dinov2_minilm_residual_mp,0.1433333307504654,0.003035345187863258,3,0.13046027719974518,0.0012650388982194526,3,0.13689680397510529,0.002044807409207565,3,4.80905298764507,0.037855782926324785,3,46856707.0,0.0,3,2086915.0,0.0,3
frozen_unimodal,efficientnet_bge_residual_mp,0.08406666666269302,0.0017473817064291716,3,0.08018176505963008,0.0004385389778267163,3,0.08212421586116155,0.0010439947042214786,3,4.109255087872346,0.16024170529529633,3,39913215.0,0.0,3,2545667.0,0.0,3
paired_reference,openclip_vit_b32_quickgelu_openai,0.5001999735832214,,1,0.30355000495910645,,1,0.40187498927116394,,1,4.1696531139314175,,1,151277313.0,,1,0.0,,1
