kind,experiment_id,seed,i2t_R@1,i2t_R@5,i2t_R@10,mean_rank_i2t,median_rank_i2t,t2i_R@1,t2i_R@5,t2i_R@10,mean_rank_t2i,median_rank_t2i,num_image_queries,num_text_queries,val_loss,mean_R@1,params_total,params_trainable,image_query_latency_ms,text_query_latency_ms,bidirectional_pair_latency_ms,peak_memory_bytes,run_id,checkpoint
paired_reference,openclip_vit_b32_quickgelu_openai,,0.5001999735832214,0.7495999932289124,0.8324000239372253,9.214400291442871,1.0,0.30355000495910645,0.5478132367134094,0.6609498858451843,25.363916397094727,4.0,5000.0,25014.0,0.4714626820757985,0.40187498927116394,151277313.0,0.0,1.8638183549046516,2.305834759026766,4.1696531139314175,620318720.0,,
frozen_unimodal,dinov2_minilm_residual_mp,42.0,0.14659999310970306,0.3734000027179718,0.5127999782562256,42.73500061035156,10.0,0.13184615969657898,0.35212281346321106,0.48792675137519836,45.30171203613281,11.0,5000.0,25014.0,1.0340378418564797,0.13922307640314102,46856707.0,2086915.0,3.505362030118704,1.2706343084573746,4.775996338576078,206045696.0,dinov2_minilm_residual_mp__seed_42,checkpoints/alignment_v2/dinov2_minilm_residual_mp__seed_42/best.pt
frozen_unimodal,dinov2_minilm_residual_mp,43.0,0.14059999585151672,0.38119998574256897,0.5166000127792358,42.56399917602539,10.0,0.13016711175441742,0.35340210795402527,0.4889262020587921,44.64555740356445,11.0,5000.0,25014.0,1.0317698813974858,0.13538355380296707,46856707.0,2086915.0,3.55597672984004,1.2943735904991627,4.850350320339203,206045696.0,dinov2_minilm_residual_mp__seed_43,checkpoints/alignment_v2/dinov2_minilm_residual_mp__seed_43/best.pt
frozen_unimodal,dinov2_minilm_residual_mp,44.0,0.1428000032901764,0.3716000020503998,0.5062000155448914,43.83359909057617,10.0,0.12936756014823914,0.3462460935115814,0.4814503788948059,44.886741638183594,11.0,5000.0,25014.0,1.0416648149490357,0.13608378171920776,46856707.0,2086915.0,3.5422816686332226,1.2585306353867054,4.800812304019928,206045696.0,dinov2_minilm_residual_mp__seed_44,checkpoints/alignment_v2/dinov2_minilm_residual_mp__seed_44/best.pt
frozen_unimodal,convnext_minilm_residual_mp,42.0,0.16359999775886536,0.39800000190734863,0.5289999842643738,40.76139831542969,9.0,0.14447909593582153,0.3729911148548126,0.5046773552894592,43.71548080444336,10.0,5000.0,25014.0,0.9683886714279651,0.15403954684734344,52816867.0,2283523.0,1.5918369218707085,1.230609193444252,2.8224461153149605,238930432.0,convnext_minilm_residual_mp__seed_42,checkpoints/alignment_v2/convnext_minilm_residual_mp__seed_42/best.pt
frozen_unimodal,convnext_minilm_residual_mp,43.0,0.16940000653266907,0.3962000012397766,0.531000018119812,40.83700180053711,9.0,0.1461581587791443,0.3738706409931183,0.5035579800605774,43.90677261352539,10.0,5000.0,25014.0,0.9691447068005801,0.15777908265590668,52816867.0,2283523.0,1.622815802693367,1.2678648717701435,2.8906806744635105,238930432.0,convnext_minilm_residual_mp__seed_43,checkpoints/alignment_v2/convnext_minilm_residual_mp__seed_43/best.pt
frozen_unimodal,convnext_minilm_residual_mp,44.0,0.1664000004529953,0.40059998631477356,0.5335999727249146,40.10459899902344,9.0,0.14595825970172882,0.3737506866455078,0.5052370429039001,43.51979064941406,10.0,5000.0,25014.0,0.965006934851408,0.15617913007736206,52816867.0,2283523.0,1.6975422762334347,1.2740916572511196,2.9716339334845543,238930432.0,convnext_minilm_residual_mp__seed_44,checkpoints/alignment_v2/convnext_minilm_residual_mp__seed_44/best.pt
frozen_unimodal,efficientnet_bge_residual_mp,42.0,0.0860000029206276,0.2524000108242035,0.36820000410079956,89.88140106201172,20.0,0.08043495565652847,0.2454625368118286,0.3660750091075897,67.80846405029297,19.0,5000.0,25014.0,1.6156796592253226,0.08321747928857803,39913215.0,2545667.0,2.2777884267270565,2.001155521720648,4.278943948447704,182853120.0,efficientnet_bge_residual_mp__seed_42,checkpoints/alignment_v2/efficientnet_bge_residual_mp__seed_42/best.pt
frozen_unimodal,efficientnet_bge_residual_mp,43.0,0.0835999995470047,0.2468000054359436,0.3668000102043152,89.3595962524414,20.0,0.08043495565652847,0.2448628693819046,0.36527544260025024,66.69932556152344,19.0,5000.0,25014.0,1.614666489539323,0.08201747760176659,39913215.0,2545667.0,2.1202893368899822,1.9680092856287956,4.088298622518778,182853120.0,efficientnet_bge_residual_mp__seed_43,checkpoints/alignment_v2/efficientnet_bge_residual_mp__seed_43/best.pt
frozen_unimodal,efficientnet_bge_residual_mp,44.0,0.08259999752044678,0.24899999797344208,0.3677999973297119,91.4135971069336,20.0,0.07967538386583328,0.24582234025001526,0.366434782743454,68.02962493896484,19.0,5000.0,25014.0,1.6197681967858915,0.08113769069314003,39913215.0,2545667.0,2.0510095544159412,1.9095131382346153,3.9605226926505566,182853120.0,efficientnet_bge_residual_mp__seed_44,checkpoints/alignment_v2/efficientnet_bge_residual_mp__seed_44/best.pt
