target_age_steps,paired_difference_pp_b512_minus_b1024,within_equivalence_margin,direction,exploratory_net_of_age0_offset_pp
0,-1.4217336972554526,False,batch 512 lower,0.0
1,-0.5673031012217205,True,batch 512 lower,0.8544305960337322
2,-0.2006967862447103,True,batch 512 lower,1.2210369110107424
4,-0.014735013246536255,True,batch 512 lower,1.4069986840089164
8,0.8124602337678274,True,batch 512 higher,2.23419393102328
16,0.06928940614064535,True,batch 512 higher,1.491023103396098
32,-0.42995500067869824,True,batch 512 lower,0.9917786965767543
64,-1.022473474343618,False,batch 512 lower,0.3992602229118347
