entry_id,label,role,row_type,seed,flickr_i2t_R1,flickr_t2i_R1,flickr_mean_R1,coco_validation_i2t_R1,coco_validation_t2i_R1,coco_validation_mean_R1,flickr_mean_R1_sd,flickr_mean_R1_min,flickr_mean_R1_max,coco_validation_mean_R1_sd,coco_validation_mean_R1_min,coco_validation_mean_R1_max,full_stack_inference_parameters,query_side_inference_parameters,image_flops,caption_flops,native_image_resolution,native_text_context_length,latency_median_ms,latency_q1_ms,latency_q3_ms,image_latency_median_ms,text_latency_median_ms,cpu_preprocessing_median_ms,cpu_tokenization_median_ms,latency_node,latency_gpu,seed43_latency_median_ms,seed43_minus_seed42_latency_ms,flickr_parameter_pareto,flickr_latency_iqr_pareto,flickr_latency_raw_median_pareto,flickr_R1_per_million_parameters,flickr_R1_per_ms,dynamic_padded_sequence_length,dynamic_raw_token_length_mean,dynamic_raw_token_length_median,dynamic_raw_token_length_p95,dynamic_raw_token_length_max,dynamic_mean_padding_tokens_per_caption,dynamic_token_utilization_fraction,dynamic_tokenizer_output_fixed_length,dynamic_text_latency_median_ms,dynamic_full_latency_median_ms,dynamic_full_latency_q1_ms,dynamic_full_latency_q3_ms
locked_minilm,DINOv3 ViT-S/16 + MiniLM (locked recipe),main_student,aggregate,,0.4756666719913482,0.3724000056584676,0.4240333388249079,0.4306666652361552,0.3068814774354299,0.3687740713357925,0.0024826110686218,0.4220000058412552,0.426800012588501,0.0033179844829381,0.3662548512220382,0.3725335150957107,45778563.0,23452417.0,12492049536.0,13289325696.0,256.0,512.0,17.05688750371337,17.052136128768325,17.061153193935752,9.514219593256712,7.987971417605877,110.21831119433044,14.184288680553436,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,17.059856094419956,0.0029685907065868,True,False,False,0.0092627053152565,0.0248599481430943,61,18.75,15.5,36.849999999999994,61,42.25,0.3073770491803279,False,1.4948192983865738,10.748224332928658,10.741718113422394,10.764246573671699
locked_e5,DINOv3 ViT-S/16 + E5-Small-v2 (best available configuration),best_available_configuration,aggregate,,0.510999987522761,0.3849333226680755,0.4479666550954183,0.4493999977906545,0.3138775626818339,0.3816387802362442,0.0087637501902234,0.4394999891519546,0.4569999873638153,0.0012211576243037,0.3807525634765625,0.3830317258834839,56425347.0,34099201.0,12492049536.0,26576880768.0,256.0,512.0,24.518052581697702,24.511073483154178,24.52148264274001,9.52789792791009,15.444680582731962,108.96509466692804,14.159469865262508,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,24.51801812276244,-3.4458935260772705e-05,True,False,False,0.0079391032383977,0.0182708905449455,63,20.75,17.5,38.849999999999994,63,42.25,0.32936507936507936,False,2.515616826713085,11.77004724740982,11.75426784902811,11.867109453305602
historical_v4,"DINOv3 ViT-S/16 + MiniLM (v4 recipe, before correction)",before_correction,aggregate,,0.207666665315628,0.1522000034650167,0.1799333343903223,0.1482000003258387,0.1062071894605954,0.1272035948932171,0.0031817185746322,0.1779000014066696,0.1836000010371208,0.0015380523827379,0.1260504052042961,0.128949899226427,45778563.0,23452417.0,12492049536.0,13289325696.0,256.0,512.0,17.067321110516787,17.06136204302311,17.072056652978063,9.521919768303633,8.05357238277793,105.78873893246056,14.00506729260087,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,17.067741602659225,0.0004204921424388,False,False,False,0.0039305151275788,0.0105425645433862,61,18.75,15.5,36.849999999999994,61,42.25,0.3073770491803279,False,1.4702561311423779,10.730755981057882,10.721537983044982,10.751496069133282
mobileclip2_s0_dfndr2b,MobileCLIP2-S0:dfndr2b,reference,aggregate,,0.875,0.6898000240325928,0.7824000120162964,0.6312000155448914,0.4290397465229034,0.5301198810338974,,0.7824000120162964,0.7824000120162964,,0.5301198810338974,0.5301198810338974,74835073.0,63428096.0,4785309184.0,5959542272.0,256.0,77.0,20.931115839630365,20.92910278588533,20.94067470170557,18.17664038389921,3.507663030177355,76.50705752894282,2.294756006449461,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,,,True,False,False,0.0104549909641472,0.0373797564358667,77,77.0,77.0,77.0,77,0.0,1.0,True,3.6084321327507496,20.93644766137004,20.928136073052883,21.279910346493125
siglip2_vit_b32_256_webli,ViT-B-32-SigLIP2-256:webli,reference,aggregate,,0.8820000290870667,0.7296000123023987,0.8058000206947327,0.6611999869346619,0.4767330288887024,0.5689665079116821,,0.8058000206947327,0.8058000206947327,,0.5689665079116821,0.5689665079116821,376856066.0,282303744.0,11487611136.0,11023812864.0,256.0,64.0,11.382623575627804,11.344269383698702,11.635772185400128,6.352858152240515,5.341934971511364,94.28694052621722,2.8580427169799805,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,,,True,True,True,0.0021382169305315,0.070792117066938,64,64.0,64.0,64.0,64,0.0,1.0,True,5.337764974683523,11.623064987361431,11.348066851496696,11.637500254437327
openclip_vit_b32_quickgelu_openai,ViT-B-32-quickgelu:openai,reference,aggregate,,0.7870000004768372,0.5774000287055969,0.682200014591217,0.5005999803543091,0.3031902015209198,0.4018950909376144,,0.682200014591217,0.682200014591217,,0.4018950909376144,0.4018950909376144,151277313.0,63428096.0,8817624576.0,5959542272.0,224.0,77.0,9.378342423588036,9.375267196446655,9.381349431350827,5.581390578299761,4.068871960043907,99.67801859602332,2.308961935341358,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,,,False,True,True,0.0045095989680304,0.0727420671776042,77,77.0,77.0,77.0,77,0.0,1.0,True,3.9711128920316696,9.378501679748297,9.375541936606169,9.381030453369021
