entry_id,label,role,row_type,seed,flickr_i2t_R1,flickr_t2i_R1,flickr_mean_R1,coco_validation_i2t_R1,coco_validation_t2i_R1,coco_validation_mean_R1,flickr_mean_R1_sd,flickr_mean_R1_min,flickr_mean_R1_max,coco_validation_mean_R1_sd,coco_validation_mean_R1_min,coco_validation_mean_R1_max,full_stack_inference_parameters,query_side_inference_parameters,image_flops,caption_flops,native_image_resolution,native_text_context_length,latency_median_ms,latency_q1_ms,latency_q3_ms,image_latency_median_ms,text_latency_median_ms,cpu_preprocessing_median_ms,cpu_tokenization_median_ms,latency_node,latency_gpu,seed43_latency_median_ms,seed43_minus_seed42_latency_ms,flickr_parameter_pareto,flickr_latency_iqr_pareto,flickr_latency_raw_median_pareto,flickr_R1_per_million_parameters,flickr_R1_per_ms
locked_minilm,DINOv3 ViT-S/16 + MiniLM (locked recipe),main_student,seed,42.0,0.48500001430511475,0.3686000108718872,0.426800012588501,0.43619999289512634,0.30886703729629517,0.37253351509571075,,,,,,,,,,,,,,,,,,,,,,,,,,,,
locked_minilm,DINOv3 ViT-S/16 + MiniLM (locked recipe),main_student,seed,43.0,0.47699999809265137,0.36959999799728394,0.42329999804496765,0.42739999294281006,0.30766770243644714,0.3675338476896286,,,,,,,,,,,,,,,,,,,,,,,,,,,,
locked_minilm,DINOv3 ViT-S/16 + MiniLM (locked recipe),main_student,seed,44.0,0.4650000035762787,0.3790000081062317,0.4220000058412552,0.4284000098705292,0.30410969257354736,0.36625485122203827,,,,,,,,,,,,,,,,,,,,,,,,,,,,
locked_minilm,DINOv3 ViT-S/16 + MiniLM (locked recipe),main_student,aggregate,,0.47566667199134827,0.3724000056584676,0.42403333882490796,0.4306666652361552,0.3068814774354299,0.36877407133579254,0.0024826110686218743,0.4220000058412552,0.426800012588501,0.003317984482938118,0.36625485122203827,0.37253351509571075,45778563.0,23452417.0,12492049536.0,13289325696.0,256.0,512.0,17.05688750371337,17.052136128768325,17.061153193935752,9.514219593256712,7.987971417605877,110.21831119433045,14.184288680553436,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,17.059856094419956,0.0029685907065868378,True,False,False,0.009262705315256576,0.024859948143094324
locked_e5,DINOv3 ViT-S/16 + E5-Small-v2 (best available configuration),best_available_configuration,seed,42.0,0.5099999904632568,0.384799987077713,0.4473999887704849,0.44920000433921814,0.31230512261390686,0.3807525634765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,
locked_e5,DINOv3 ViT-S/16 + E5-Small-v2 (best available configuration),best_available_configuration,seed,43.0,0.5289999842643738,0.38499999046325684,0.4569999873638153,0.448199987411499,0.3140641152858734,0.3811320513486862,,,,,,,,,,,,,,,,,,,,,,,,,,,,
locked_e5,DINOv3 ViT-S/16 + E5-Small-v2 (best available configuration),best_available_configuration,seed,44.0,0.49399998784065247,0.38499999046325684,0.43949998915195465,0.45080000162124634,0.31526345014572144,0.3830317258834839,,,,,,,,,,,,,,,,,,,,,,,,,,,,
locked_e5,DINOv3 ViT-S/16 + E5-Small-v2 (best available configuration),best_available_configuration,aggregate,,0.510999987522761,0.38493332266807556,0.4479666550954183,0.4493999977906545,0.3138775626818339,0.3816387802362442,0.008763750190223456,0.43949998915195465,0.4569999873638153,0.0012211576243037734,0.3807525634765625,0.3830317258834839,56425347.0,34099201.0,12492049536.0,26576880768.0,256.0,512.0,24.518052581697702,24.511073483154178,24.52148264274001,9.52789792791009,15.444680582731962,108.96509466692805,14.159469865262508,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,24.51801812276244,-3.4458935260772705e-05,True,False,False,0.007939103238397777,0.018270890544945545
historical_v4,"DINOv3 ViT-S/16 + MiniLM (v4 recipe, before correction)",before_correction,seed,42.0,0.20499999821186066,0.15080000460147858,0.17790000140666962,0.14640000462532043,0.10570080578327179,0.1260504052042961,,,,,,,,,,,,,,,,,,,,,,,,,,,,
historical_v4,"DINOv3 ViT-S/16 + MiniLM (v4 recipe, before correction)",before_correction,seed,43.0,0.2070000022649765,0.14959999918937683,0.17830000072717667,0.15039999783039093,0.10749980062246323,0.12894989922642708,,,,,,,,,,,,,,,,,,,,,,,,,,,,
historical_v4,"DINOv3 ViT-S/16 + MiniLM (v4 recipe, before correction)",before_correction,seed,44.0,0.210999995470047,0.15620000660419464,0.18360000103712082,0.1477999985218048,0.10542096197605133,0.12661048024892807,,,,,,,,,,,,,,,,,,,,,,,,,,,,
historical_v4,"DINOv3 ViT-S/16 + MiniLM (v4 recipe, before correction)",before_correction,aggregate,,0.20766666531562805,0.1522000034650167,0.17993333439032236,0.14820000032583872,0.10620718946059544,0.1272035948932171,0.0031817185746322186,0.17790000140666962,0.18360000103712082,0.001538052382737944,0.1260504052042961,0.12894989922642708,45778563.0,23452417.0,12492049536.0,13289325696.0,256.0,512.0,17.067321110516787,17.06136204302311,17.072056652978063,9.521919768303633,8.05357238277793,105.78873893246055,14.00506729260087,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,17.067741602659225,0.00042049214243888855,False,False,False,0.003930515127578871,0.010542564543386276
