arm,validation_mean_R1,validation_sd,gain_vs_M_T1_pp,pooled_sd_pp,exceeds_pooled_sd,beats_openclip_validation,inference_trainable_parameters,latency_q3_ms,eligible
vision,0.580473373333613,0.004050584721341643,3.5601581136385563,0.3686687139195617,True,False,4076037,9.482609340921044,False
text,0.5972386598587036,0.004888370522906322,5.2366867661476135,0.4163667488469378,True,False,3682821,9.641082491725683,False
dual,0.6341551641623179,0.0055370507858064485,8.92833719650904,0.4551649093705169,True,False,4862469,9.60508268326521,False
