model_id,label,kind,seed,dataset,metric,value
mt1_dual_lora,M_T1 C4 dual-LoRA PEFT,student,43.0,sugarcrepe,accuracy/add_att,0.6170520186424255
mt1_dual_lora,M_T1 C4 dual-LoRA PEFT,student,43.0,sugarcrepe,accuracy/add_obj,0.8026188015937805
mt1_dual_lora,M_T1 C4 dual-LoRA PEFT,student,43.0,sugarcrepe,accuracy/replace_att,0.8299492597579956
mt1_dual_lora,M_T1 C4 dual-LoRA PEFT,student,43.0,sugarcrepe,accuracy/replace_obj,0.9279661178588867
mt1_dual_lora,M_T1 C4 dual-LoRA PEFT,student,43.0,sugarcrepe,accuracy/replace_rel,0.7254623174667358
mt1_dual_lora,M_T1 C4 dual-LoRA PEFT,student,43.0,sugarcrepe,accuracy/swap_att,0.642642617225647
mt1_dual_lora,M_T1 C4 dual-LoRA PEFT,student,43.0,sugarcrepe,accuracy/swap_obj,0.6816326379776001
mt1_dual_lora,M_T1 C4 dual-LoRA PEFT,student,44.0,sugarcrepe,overall_accuracy,0.783384382724762
mt1_dual_lora,M_T1 C4 dual-LoRA PEFT,student,44.0,sugarcrepe,positive_score,0.5788031994558464
mt1_dual_lora,M_T1 C4 dual-LoRA PEFT,student,44.0,sugarcrepe,negative_score,0.5359514332328683
mt1_dual_lora,M_T1 C4 dual-LoRA PEFT,student,44.0,sugarcrepe,score_margin,0.042851766222978045
mt1_dual_lora,M_T1 C4 dual-LoRA PEFT,student,44.0,sugarcrepe,accuracy/add_att,0.6170520186424255
mt1_dual_lora,M_T1 C4 dual-LoRA PEFT,student,44.0,sugarcrepe,accuracy/add_obj,0.8060135841369629
mt1_dual_lora,M_T1 C4 dual-LoRA PEFT,student,44.0,sugarcrepe,accuracy/replace_att,0.817258894443512
mt1_dual_lora,M_T1 C4 dual-LoRA PEFT,student,44.0,sugarcrepe,accuracy/replace_obj,0.925544798374176
mt1_dual_lora,M_T1 C4 dual-LoRA PEFT,student,44.0,sugarcrepe,accuracy/replace_rel,0.7233285903930664
mt1_dual_lora,M_T1 C4 dual-LoRA PEFT,student,44.0,sugarcrepe,accuracy/swap_att,0.6696696877479553
mt1_dual_lora,M_T1 C4 dual-LoRA PEFT,student,44.0,sugarcrepe,accuracy/swap_obj,0.6489796042442322
openclip_vit_b32_quickgelu_openai,openclip_vit_b32_quickgelu_openai,reference,,sugarcrepe,overall_accuracy,0.7655438780784607
openclip_vit_b32_quickgelu_openai,openclip_vit_b32_quickgelu_openai,reference,,sugarcrepe,positive_score,0.30906181941692973
openclip_vit_b32_quickgelu_openai,openclip_vit_b32_quickgelu_openai,reference,,sugarcrepe,negative_score,0.29232622131124
openclip_vit_b32_quickgelu_openai,openclip_vit_b32_quickgelu_openai,reference,,sugarcrepe,score_margin,0.01673559810568975
openclip_vit_b32_quickgelu_openai,openclip_vit_b32_quickgelu_openai,reference,,sugarcrepe,accuracy/add_att,0.6835260391235352
openclip_vit_b32_quickgelu_openai,openclip_vit_b32_quickgelu_openai,reference,,sugarcrepe,accuracy/add_obj,0.770611047744751
openclip_vit_b32_quickgelu_openai,openclip_vit_b32_quickgelu_openai,reference,,sugarcrepe,accuracy/replace_att,0.8007614016532898
openclip_vit_b32_quickgelu_openai,openclip_vit_b32_quickgelu_openai,reference,,sugarcrepe,accuracy/replace_obj,0.9098063111305237
openclip_vit_b32_quickgelu_openai,openclip_vit_b32_quickgelu_openai,reference,,sugarcrepe,accuracy/replace_rel,0.6970127820968628
