arm,parent,merge_after_block,validation_mean_R1,validation_sd,validation_min,validation_max,gain_vs_no_merge_parent_pp,pooled_sd_vs_parent_pp,inference_trainable_parameters,added_tokenshift_parameters,latency_q3_mean_ms,paired_latency_delta_vs_parent_ms,latency_classification_vs_openclip,flickr_test_used
frozen_block8,frozen_no_merge,8,0.4190664043029149,0.0036185885324078594,0.4148915112018585,0.42130178213119507,-12.580538789431255,0.34547265091992474,2896389,0,8.20412051398307,-0.9373661130666733,FASTER,False
frozen_block6,frozen_no_merge,6,0.385371466477712,0.004848759129799672,0.379783034324646,0.38846154510974884,-15.95003257195155,0.41404439761135553,2896389,0,7.573016476817429,-1.568470150232315,FASTER,False
dual_block8,dual_lora_no_merge,8,0.577251801888148,0.0063188264616190265,0.570216953754425,0.5824457556009293,-5.690336227416992,0.5940812202748738,4862469,0,8.20269794203341,-0.9338117903098464,FASTER,False
dual_block6,dual_lora_no_merge,6,0.5255424082279205,0.008134753396648736,0.5166666656732559,0.5326430052518845,-10.861275593439734,0.6958201787419216,4862469,0,7.555533852428198,-1.5809758799150586,FASTER,False
