cell,stage,median,q1,q3,iqr,percent_of_full_stack_q3
M_T0,vision_encoder,6.902668159455061,6.898292573168874,6.9103233981877565,0.012030825018882751,77.7574668969729
M_T0,image_aggregation,0.6009289063513279,0.5982050206512213,0.61205611564219,0.013851094990968704,6.887077551771088
M_T0,image_projection,0.06650667637586594,0.0662186648696661,0.06685452535748482,0.000635860487818718,0.7522713833857269
M_T0,text_encoder,1.270486507564783,1.2662410736083984,1.275008311495185,0.008767237886786461,14.346856270207576
M_T0,text_aggregation,0.028889626264572144,0.02877018414437771,0.029082875698804855,0.0003126915544271469,0.3272510726504717
M_T0,text_projection,0.06245169788599014,0.06228592246770859,0.06271922029554844,0.0004332978278398514,0.7057394299685062
M_T0,cpu_tokenization,1.6025444492697716,1.5482697635889053,1.6948175616562366,0.14654779806733131,19.07070231784722
E_T0,vision_encoder,6.97395671159029,6.970544345676899,6.9776049349457026,0.0070605892688035965,69.04745881027846
E_T0,image_aggregation,0.5860473029315472,0.5847057327628136,0.5885160062462091,0.0038102734833955765,5.82370814618081
E_T0,image_projection,0.06556045264005661,0.06517232395708561,0.06605405360460281,0.0008817296475172043,0.6536432755992984
E_T0,text_encoder,2.402958460152149,2.3956429213285446,2.411102643236518,0.01545972190797329,23.859262884381472
E_T0,text_aggregation,0.02903025597333908,0.0289171002805233,0.029207905754446983,0.00029080547392368317,0.2890292139376284
E_T0,text_projection,0.061810482293367386,0.061125028878450394,0.0621182844042778,0.0009932555258274078,0.6146965504292929
E_T0,cpu_tokenization,1.6944264061748981,1.6387917567044497,1.7417941708117723,0.10300241410732269,17.236066298735622
