seed,coco_selected_epoch,coco_peak_R1,flickr_at_coco_selected_epoch_R1,flickr_selected_epoch,flickr_peak_R1,coco_at_flickr_selected_epoch_R1,epoch24_coco_dev_R1,epoch24_flickr_validation_R1,coco_peak_at_epoch24,flickr_peak_at_epoch24
42,23,0.40166494250297546,0.4584812521934509,18,0.4645956754684448,0.4003453999757767,0.4012049287557602,0.4596647024154663,False,False
43,24,0.40360571444034576,0.4428007900714874,7,0.45039448142051697,0.3759494423866272,0.40360571444034576,0.4428007900714874,True,False
44,19,0.4047252684831619,0.457100585103035,13,0.46627217531204224,0.3927673250436783,0.4036053717136383,0.46104536950588226,False,False
