queue_size,n,mean,sd,minimum,maximum
0,3,0.37321177621682483,0.002674266826803999,0.37063227593898773,0.3759716749191284
1024,3,0.308865487575531,0.0034698783110172016,0.3054194003343582,0.31235867738723755
4096,3,0.25245638688405353,0.0012624395726559042,0.2510298639535904,0.25342950969934464
16384,3,0.20899850875139236,0.0010886956522023078,0.20775870233774185,0.20979846268892288
65536,3,0.19335579127073288,0.0009604259334927904,0.19226226210594177,0.19406244158744812
