arm,n,mean,sd,minimum,maximum
mass_normalized,3,0.2711016883452733,0.0024964811928845894,0.2694082111120224,0.2739687040448189
matched_random_filter,3,0.20927172154188156,0.001258604785171815,0.20781859010457993,0.2100181058049202
semantic_filter,3,0.26198133329550427,0.0027071923194982757,0.26000799238681793,0.26506760716438293
unweighted_fresh_control,3,0.20899850875139236,0.0010886956522023078,0.20775870233774185,0.20979846268892288
