arm,seed,coco_selected_pass,coco_selected_flickr_R1,flickr_selected_pass,flickr_selected_R1,value_at_pass_24,peaked_at_ceiling
cc3m_only,42,18,0.4647929072380066,15,0.4736686497926712,0.465285986661911,False
cc3m_only,43,12,0.46893490850925446,14,0.47554241120815277,0.4715976417064667,False
cc3m_only,44,18,0.46291913092136383,8,0.4670611470937729,0.4607495218515396,False
mixed_coco_cc3m,42,15,0.5262327343225479,18,0.5351084917783737,0.5268244445323944,False
mixed_coco_cc3m,43,22,0.5220907330513,20,0.524852067232132,0.5175542384386063,False
mixed_coco_cc3m,44,19,0.5284023582935333,14,0.5340236872434616,0.5252465605735779,False
