arm,seed,pass,global_step,coco_dev_mean_R1,flickr_validation_mean_R1,completed_training
cc3m_only,42,11,14520,0.2348746433854103,0.46735700964927673,True
cc3m_only,42,12,15840,0.23313456773757935,0.46952661871910095,True
cc3m_only,42,13,17160,0.2369137927889824,0.46627217531204224,True
cc3m_only,42,14,18480,0.2376340553164482,0.4612426161766052,True
cc3m_only,42,15,19800,0.23725412786006927,0.4736686497926712,True
cc3m_only,42,16,21120,0.23625421524047852,0.46222878992557526,True
cc3m_only,42,17,22440,0.23485439270734787,0.458579882979393,True
cc3m_only,42,18,23760,0.2407342717051506,0.4647929072380066,True
cc3m_only,42,19,25080,0.23635412752628326,0.4659763276576996,True
cc3m_only,42,20,26400,0.237554132938385,0.46548324823379517,True
cc3m_only,42,21,27720,0.236654132604599,0.46291911602020264,True
cc3m_only,42,22,29040,0.23579416424036026,0.4653846025466919,True
cc3m_only,42,23,30360,0.23701400309801102,0.466962531208992,True
cc3m_only,42,24,31680,0.2358941212296486,0.465285986661911,True
cc3m_only,43,1,1320,0.1830841451883316,0.3859960585832596,True
cc3m_only,43,2,2640,0.2085600644350052,0.41351084411144257,True
cc3m_only,43,3,3960,0.21491819620132446,0.43274161219596863,True
cc3m_only,43,4,5280,0.21815672516822815,0.4428994059562683,True
cc3m_only,43,5,6600,0.22197666764259338,0.45276133716106415,True
cc3m_only,43,6,7920,0.2196962684392929,0.4468441754579544,True
cc3m_only,43,7,9240,0.22635561972856522,0.4613412320613861,True
cc3m_only,43,8,10560,0.23051485419273376,0.4615384638309479,True
cc3m_only,43,9,11880,0.22673413902521133,0.46735700964927673,True
cc3m_only,43,10,13200,0.23241406679153442,0.4658777117729187,True
cc3m_only,43,11,14520,0.22799455374479294,0.4640039652585983,True
cc3m_only,43,12,15840,0.23401396721601486,0.46893490850925446,True
cc3m_only,43,13,17160,0.22963400930166245,0.4732741713523865,True
cc3m_only,43,14,18480,0.23087451606988907,0.47554241120815277,True
cc3m_only,43,15,19800,0.23393351584672928,0.470808669924736,True
cc3m_only,43,16,21120,0.23025403916835785,0.46390531957149506,True
cc3m_only,43,17,22440,0.23269354552030563,0.47120316326618195,True
cc3m_only,43,18,23760,0.22939424961805344,0.4665680527687073,True
cc3m_only,43,19,25080,0.23155386000871658,0.4704142063856125,True
cc3m_only,43,20,26400,0.23125425726175308,0.4710059016942978,True
cc3m_only,43,21,27720,0.23161379247903824,0.4714003950357437,True
cc3m_only,43,22,29040,0.23313386738300323,0.46844182908535004,True
cc3m_only,43,23,30360,0.23307372629642487,0.4686390459537506,True
cc3m_only,43,24,31680,0.23289362341165543,0.4715976417064667,True
cc3m_only,44,1,1320,0.18210365623235703,0.40246547758579254,True
cc3m_only,44,2,2640,0.2066195160150528,0.4123274236917496,True
cc3m_only,44,3,3960,0.21851744502782822,0.4424063116312027,True
cc3m_only,44,4,5280,0.21999745070934296,0.43767258524894714,True
cc3m_only,44,5,6600,0.21847640722990036,0.44595661759376526,True
cc3m_only,44,6,7920,0.23019525408744812,0.44940827786922455,True
cc3m_only,44,7,9240,0.22995442897081375,0.4408283978700638,True
cc3m_only,44,8,10560,0.23081476986408234,0.4670611470937729,True
cc3m_only,44,9,11880,0.22301550954580307,0.44260354340076447,True
cc3m_only,44,10,13200,0.2338351011276245,0.4625246524810791,True
cc3m_only,44,11,14520,0.234674334526062,0.45956605672836304,True
cc3m_only,44,12,15840,0.23013553768396378,0.4451676458120346,True
cc3m_only,44,13,17160,0.23321481049060822,0.4587771147489548,True
cc3m_only,44,14,18480,0.2350948229432106,0.4540434032678604,True
cc3m_only,44,15,19800,0.23503461480140686,0.4642011821269989,True
cc3m_only,44,16,21120,0.2360144481062889,0.4612426161766052,True
cc3m_only,44,17,22440,0.23329441994428635,0.4631163626909256,True
cc3m_only,44,18,23760,0.23943370580673218,0.46291913092136383,True
cc3m_only,44,19,25080,0.23795421421527863,0.461439847946167,True
cc3m_only,44,20,26400,0.23643404990434647,0.4607494920492172,True
cc3m_only,44,21,27720,0.23487433791160583,0.4586785137653351,True
cc3m_only,44,22,29040,0.23689428716897964,0.4607494920492172,True
cc3m_only,44,23,30360,0.23685412108898163,0.46055227518081665,True
cc3m_only,44,24,31680,0.23615412414073944,0.4607495218515396,True
