arm,seed,pass,global_step,coco_dev_mean_R1,flickr_validation_mean_R1,completed_training
mixed_coco_cc3m,42,1,1431,0.24843426793813705,0.3970414251089096,True
mixed_coco_cc3m,42,2,2862,0.28706593066453934,0.4518737643957138,True
mixed_coco_cc3m,42,3,4293,0.3095012605190277,0.4764299839735031,True
mixed_coco_cc3m,42,4,5724,0.32347893714904785,0.48402367532253265,True
mixed_coco_cc3m,42,5,7155,0.3313176929950714,0.49812623858451843,True
mixed_coco_cc3m,42,6,8586,0.3374571055173874,0.5056212991476059,True
mixed_coco_cc3m,42,7,10017,0.3424762189388275,0.4976331442594528,True
mixed_coco_cc3m,42,8,11448,0.3465350866317749,0.516568049788475,True
mixed_coco_cc3m,42,9,12879,0.3506145179271698,0.5068047344684601,True
mixed_coco_cc3m,42,10,14310,0.35273389518260956,0.519428014755249,True
mixed_coco_cc3m,42,11,15741,0.35913310945034027,0.5212031602859497,True
mixed_coco_cc3m,42,12,17172,0.35269299149513245,0.5218935012817383,True
mixed_coco_cc3m,42,13,18603,0.3597925454378128,0.5281065106391907,True
mixed_coco_cc3m,42,14,20034,0.35747234523296356,0.527514785528183,True
mixed_coco_cc3m,42,15,21465,0.36633144319057465,0.5262327343225479,True
mixed_coco_cc3m,42,16,22896,0.3628118485212326,0.5285009890794754,True
mixed_coco_cc3m,42,17,24327,0.3646313399076462,0.530374750494957,True
mixed_coco_cc3m,42,18,25758,0.36217181384563446,0.5351084917783737,True
mixed_coco_cc3m,42,19,27189,0.36477163434028625,0.5312623381614685,True
mixed_coco_cc3m,42,20,28620,0.3662312179803848,0.5291913151741028,True
mixed_coco_cc3m,42,21,30051,0.36445142328739166,0.530473381280899,True
mixed_coco_cc3m,42,22,31482,0.3650316596031189,0.5286982208490372,True
mixed_coco_cc3m,42,23,32913,0.36391179263591766,0.5286982208490372,True
mixed_coco_cc3m,42,24,34344,0.36431173980236053,0.5268244445323944,True
mixed_coco_cc3m,43,1,1431,0.25447236001491547,0.4115384668111801,True
mixed_coco_cc3m,43,2,2862,0.2864866256713867,0.4463510811328888,True
mixed_coco_cc3m,43,3,4293,0.3058224320411682,0.4659763425588608,True
mixed_coco_cc3m,43,4,5724,0.3165404498577118,0.47504931688308716,True
mixed_coco_cc3m,43,5,7155,0.3345378190279007,0.49467456340789795,True
mixed_coco_cc3m,43,6,8586,0.33577801287174225,0.48698224127292633,True
mixed_coco_cc3m,43,7,10017,0.33611659705638885,0.5121301859617233,True
mixed_coco_cc3m,43,8,11448,0.34295591711997986,0.507199227809906,True
mixed_coco_cc3m,43,9,12879,0.3424760401248932,0.502859964966774,True
mixed_coco_cc3m,43,10,14310,0.34783385694026947,0.5145956575870514,True
mixed_coco_cc3m,43,11,15741,0.3500545024871826,0.5140039473772049,True
mixed_coco_cc3m,43,12,17172,0.3562532365322113,0.5180473476648331,True
mixed_coco_cc3m,43,13,18603,0.356933057308197,0.5191321521997452,True
mixed_coco_cc3m,43,14,20034,0.35743236541748047,0.5160749405622482,True
mixed_coco_cc3m,43,15,21465,0.3606119304895401,0.5239644795656204,True
mixed_coco_cc3m,43,16,22896,0.3610724210739136,0.5178500860929489,True
mixed_coco_cc3m,43,17,24327,0.36103183031082153,0.5224851965904236,True
mixed_coco_cc3m,43,18,25758,0.3626520037651062,0.5236686319112778,True
mixed_coco_cc3m,43,19,27189,0.3635914474725723,0.5217948704957962,True
