candidate,flickr_mean_coco_selected,flickr_mean_flickr_selected,selection_gain_pp,sd,min,max,seeds_peaking_at_epoch24,inference_trainable_parameters,reused,latency_measurement_session,trained_latency_median_ms,trained_latency_q1_ms,trained_latency_q3_ms,latency_q3_below_9p48
C1,0.5132478624582291,0.5162064383427302,0.29585758845011023,0.00640063368939891,0.5102564096450806,0.5229782909154892,0,1710468,True,prior_C1_trained_profile,8.846658281981945,8.836937369778752,8.85497685521841,True
C2,0.5284352401892344,0.5297172913948694,0.12820512056350708,0.0039278953614796915,0.5263313502073288,0.5340236723423004,1,2203524,False,contemporaneous_C2_C3_C4_C5_and_CLS,8.934145793318748,8.759602438658476,8.943355642259121,True
C3,0.5248520771662394,0.5282380084196726,0.33859312534332275,0.011348215541365482,0.5166666805744171,0.5393491089344025,1,1842948,False,contemporaneous_C2_C3_C4_C5_and_CLS,8.765888400375843,8.748835418373346,8.934250334277749,True
C4,0.5360946655273438,0.5386587729056677,0.256410737832391,0.003076241018621627,0.5351084619760513,0.5405325591564178,0,2730628,False,contemporaneous_C2_C3_C4_C5_and_CLS,8.986582513898611,8.977224817499518,9.16695361956954,True
C5,0.5246877074241638,0.5262656112511953,0.15779038270314905,0.004762751499625617,0.5208086669445038,0.5295857936143875,1,2663044,False,contemporaneous_C2_C3_C4_C5_and_CLS,8.756460156291723,8.750063367187977,8.762671379372478,True
